Time,Group,EngraulisJaponicus,ScomberJaponicus,ScomberomorusNiphonius,DecapterusMaruadsi,TrichiurusJaponicus,PennahiaArgentata,PampusArgenteus,LarimichthysPolyactis,MuraenesoxCinereus,MiichthysMiiuy,TrachurusJaponicus,TodarodesPacificus,TrachysalambriaCurvirostris,PortunusTrituberculatus
95,SSP1-2.6,799005.7331,1109470.111,95677.89753,44485.15905,1501848.775,741393.5629,14483.78361,681821.0689,882565.8469,75717.12173,10524.26123,952299.7447,264900.9997,411072.8325
96,SSP1-2.6,793549.4649,1061777.53,93352.30076,46377.14943,1493584.585,713315.328,13623.90646,654055.7671,852688.731,69365.62115,9956.89162,877901.4839,256774.3961,420750.5654
97,SSP1-2.6,799132.4996,1101921.037,93771.31618,47257.60043,1478904.429,683189.1996,13631.31686,661438.9125,829194.8204,72771.03857,10730.53906,908498.5772,275738.7439,425991.8289
98,SSP1-2.6,835844.4609,1101215.102,93863.01632,48204.83276,1500903.527,659262.4476,14325.4168,658919.0451,813308.3987,67691.9576,11689.54234,852243.2897,263999.0652,411219.0218
99,SSP1-2.6,827778.2266,1100214.494,94671.38243,46719.96207,1528663.614,735692.6966,14100.00963,679238.2681,844512.8286,86247.95026,12032.54422,919612.4455,268495.3294,402323.5652
100,SSP1-2.6,814247.8675,1077506.781,96965.77383,48737.37262,1530274.481,731900.1165,13382.19994,669778.2032,852828.2337,76492.73339,10343.59472,902689.4062,268189.4067,406873.6632
101,SSP1-2.6,825282.8339,1092275.042,95026.71358,49582.75745,1541232.088,729613.9282,12946.87303,684866.4755,858444.1903,76440.52952,9972.632047,930827.5781,274278.2179,425628.5015
21,SSP5-8.5,843728.4317,1116287.091,90106.47637,46986.37464,1516828.065,629369.0684,14689.67233,645982.3625,812014.4901,62026.80178,11910.63163,880377.4408,261793.3278,414254.8387
22,SSP5-8.5,865231.2165,1136685.734,91261.88735,49800.9615,1452372.277,644274.6125,14416.13303,657929.2943,795391.729,63182.70552,11971.02576,832490.9936,262439.2741,409981.501
23,SSP5-8.5,900418.1239,1182148.459,90812.36196,52368.35482,1414782.063,610270.751,13322.6705,623062.2962,762377.8755,55015.38933,11261.28085,790300.9327,235492.0773,409066.0957
24,SSP5-8.5,901913.7239,1186840.048,92087.82929,51603.9056,1401717.631,612631.4023,14215.85039,637590.9452,794419.7373,57595.40761,11896.7497,809397.3095,245727.4154,427816.0214
25,SSP5-8.5,907488.2343,1171967.049,91359.38227,52740.30194,1403934.715,582035.2441,15135.80824,603374.8296,773954.293,56104.68551,12170.17718,809857.3514,250988.1774,430664.7025
26,SSP5-8.5,867594.7289,1179239.2,90801.27261,52420.53617,1477690.893,598349.9241,15562.93007,642087.169,802292.6704,58354.10472,12881.51509,856362.3811,255456.2459,437078.4426
27,SSP5-8.5,830143.3936,1175844.407,91487.79371,51582.88738,1501428.076,611023.8759,15428.07293,625230.3976,809385.9611,60228.94198,12959.17983,855942.0263,261500.2395,409440.6389
