scenario,run,group,value,indicator
Base,85,Mid-trophic species,0.597466125785041,age_mature
Base,86,Mid-trophic species,0.606666197878917,age_mature
Base,87,Mid-trophic species,0.60026333686895,age_mature
Base,88,Mid-trophic species,0.598776925216139,age_mature
Base,89,Mid-trophic species,0.59931157941249,age_mature
Base,90,Mid-trophic species,0.594419826603211,age_mature
Base,91,Mid-trophic species,0.601823682966359,age_mature
Base,92,Mid-trophic species,0.599289892707385,age_mature
Base,93,Mid-trophic species,0.602928938366169,age_mature
Base,94,Mid-trophic species,0.603536767064472,age_mature
Base,95,Mid-trophic species,0.587777270196629,age_mature
Base,96,Mid-trophic species,0.600329462658097,age_mature
Base,97,Mid-trophic species,0.603443477605182,age_mature
Base,98,Mid-trophic species,0.592637651208527,age_mature
Base,99,Mid-trophic species,0.604359593002333,age_mature
Base,100,Mid-trophic species,0.598640706749206,age_mature
SSP1-2.6,1,Prey,0.680228179382716,age_mature
SSP1-2.6,2,Prey,0.675311201604938,age_mature
SSP1-2.6,3,Prey,0.670910015061728,age_mature
SSP1-2.6,4,Prey,0.673772471358025,age_mature
SSP1-2.6,5,Prey,0.681215305185185,age_mature
SSP1-2.6,6,Prey,0.683889135802469,age_mature
SSP1-2.6,7,Prey,0.676993707654321,age_mature
SSP1-2.6,8,Prey,0.67523644308642,age_mature
SSP1-2.6,9,Prey,0.681978176296296,age_mature
SSP1-2.6,10,Prey,0.675843005925926,age_mature
SSP1-2.6,11,Prey,0.678328545432099,age_mature
SSP1-2.6,12,Prey,0.678301587777778,age_mature
SSP1-2.6,13,Prey,0.663275797654321,age_mature
SSP1-2.6,14,Prey,0.681589560864198,age_mature
SSP1-2.6,15,Prey,0.690414879012346,age_mature
SSP1-2.6,16,Prey,0.683371278395062,age_mature
SSP1-2.6,17,Prey,0.683518268395062,age_mature
SSP1-2.6,18,Prey,0.681729610246914,age_mature
SSP1-2.6,19,Prey,0.684277971111111,age_mature
SSP1-2.6,20,Prey,0.669672501728395,age_mature
SSP1-2.6,21,Prey,0.694672156666667,age_mature
SSP1-2.6,22,Prey,0.664959949259259,age_mature
SSP1-2.6,23,Prey,0.671792187407407,age_mature
SSP1-2.6,24,Prey,0.685402069753086,age_mature
SSP1-2.6,25,Prey,0.671999055679012,age_mature
SSP1-2.6,26,Prey,0.678275472469136,age_mature
SSP1-2.6,27,Prey,0.686910165061728,age_mature
SSP1-2.6,28,Prey,0.68477062691358,age_mature
SSP1-2.6,29,Prey,0.681672135432099,age_mature
SSP1-2.6,30,Prey,0.681406981975309,age_mature
SSP1-2.6,31,Prey,0.669944409012346,age_mature
SSP1-2.6,32,Prey,0.682882028024691,age_mature
SSP1-2.6,33,Prey,0.689846810246914,age_mature
