species,indicator,scenario,comparison,n_paired_runs,base_mean,future_mean,response_center,response_unit,pct_change,pct_ci_low,pct_ci_high,t_statistic,df,p_value,paired_effect_dz,p_fdr,significance,latin,group,species_order,cell_label,indicator_label
PortunusTrituberculatus,mean_tl,SSP1-2.6,SSP1-2.6 vs Base,100,2.1413435907,2.15224735259259,0.0109037618925926,absolute difference,0.509201883338517,0.474661795514155,0.541355423128509,29.837374643633,99,2.76265347240658e-51,2.9837374643633,3.86771486136921e-50,***,Portunus trituberculatus,Invertebrate,8,+0.5***,Mean trophic level
ScomberJaponicus,mean_tl,SSP1-2.6,SSP1-2.6 vs Base,100,2.53868698233333,2.53827061874074,-0.000416363592592091,absolute difference,-0.0164007455621507,-0.0357722632367563,0.00294514785386055,-1.60706851696973,99,0.11122422601575,-0.160706851696973,0.119779935709269,ns,Scomber japonicus,Mid-trophic species,9,-0.0,Mean trophic level
DecapterusMaruadsi,mean_tl,SSP1-2.6,SSP1-2.6 vs Base,100,2.7148232517,2.72330324,0.00847998830000078,absolute difference,0.312358762018516,0.24134211885475,0.381598576246518,8.613339631305,99,1.14462132015156e-13,0.8613339631305,2.00308731026523e-13,***,Decapterus maruadsi,Mid-trophic species,10,+0.3***,Mean trophic level
PennahiaArgentata,mean_tl,SSP1-2.6,SSP1-2.6 vs Base,100,2.89192399516667,2.89012470958025,-0.00179928558641959,absolute difference,-0.0622175959474225,-0.121939694667241,-0.00484032260111597,-2.08372370582033,99,0.0397609388457578,-0.208372370582033,0.0506048312582371,ns,Pennahia argentata,Mid-trophic species,11,-0.1,Mean trophic level
PampusArgenteus,mean_tl,SSP1-2.6,SSP1-2.6 vs Base,100,2.82814235153333,2.81578099903704,-0.0123613524962956,absolute difference,-0.437083815444916,-0.522050135583895,-0.355164886626689,-10.1327825012573,99,5.61585362277143e-17,-1.01327825012573,1.12317072455429e-16,***,Pampus argenteus,Mid-trophic species,12,-0.4***,Mean trophic level
LarimichthysPolyactis,mean_tl,SSP1-2.6,SSP1-2.6 vs Base,100,2.60773167376667,2.59891816079012,-0.00881351297654284,absolute difference,-0.337976221449654,-0.400042617846764,-0.274633144491308,-10.6069610596138,99,5.20829299026673e-18,-1.06069610596138,1.45832203727468e-17,***,Larimichthys polyactis,Mid-trophic species,13,-0.3***,Mean trophic level
TrachurusJaponicus,mean_tl,SSP1-2.6,SSP1-2.6 vs Base,100,2.67468526753333,2.68120231093827,0.00651704340493902,absolute difference,0.243656458726038,0.152803935547711,0.335456679392005,5.09787392664019,99,1.65153805230695e-06,0.509787392664019,2.31215327322972e-06,***,Trachurus japonicus,Mid-trophic species,14,+0.2***,Mean trophic level
EngraulisJaponicus,mean_tl,SSP5-8.5,SSP5-8.5 vs Base,100,2.3345905394,2.32505371146914,-0.00953682793086438,absolute difference,-0.408501095584646,-0.447931044459901,-0.370583210936846,-20.7217341802747,99,8.80582836061638e-38,-2.07217341802747,4.10938656828764e-37,***,Engraulis japonicus,Prey,1,-0.4***,Mean trophic level
ScomberomorusNiphonius,mean_tl,SSP5-8.5,SSP5-8.5 vs Base,100,3.09354402646667,3.07557865865432,-0.0179653678123449,absolute difference,-0.58073742150242,-0.621601432110983,-0.537842302938926,-27.0020915730181,99,1.85609133402602e-47,-2.70020915730181,1.29926393381821e-46,***,Scomberomorus niphonius,Predator,2,-0.6***,Mean trophic level
TrichiurusJaponicus,mean_tl,SSP5-8.5,SSP5-8.5 vs Base,100,2.7845686527,2.78099478639506,-0.00357386630493819,absolute difference,-0.128345419010334,-0.168037111114205,-0.0873467085887131,-6.16842261192038,99,1.51095163336616e-08,-0.616842261192038,2.35036920745847e-08,***,Trichiurus japonicus,Predator,3,-0.1***,Mean trophic level
MuraenesoxCinereus,mean_tl,SSP5-8.5,SSP5-8.5 vs Base,100,3.11356910333333,3.11265529476543,-0.000913808567901291,absolute difference,-0.0293492303390042,-0.0643043226236856,0.00568703479095098,-1.65570751780396,99,0.100947659714044,-0.165570751780396,0.108712864307432,ns,Muraenesox cinereus,Predator,4,-0.0,Mean trophic level
MiichthysMiiuy,mean_tl,SSP5-8.5,SSP5-8.5 vs Base,100,3.0251973754,3.01117631261728,-0.0140210627827157,absolute difference,-0.463475966782556,-0.516508711571298,-0.411565741874677,-17.0003360655096,99,3.99639345860867e-31,-1.70003360655096,1.39873771051304e-30,***,Miichthys miiuy,Predator,5,-0.5***,Mean trophic level
TodarodesPacificus,mean_tl,SSP5-8.5,SSP5-8.5 vs Base,100,2.43184867786667,2.42530579641975,-0.00654288144691323,absolute difference,-0.269049694845858,-0.312611750548852,-0.223198551664724,-11.6404104091482,99,3.02683570424563e-20,-1.16404104091482,8.47513997188778e-20,***,Todarodes pacificus,Invertebrate,6,-0.3***,Mean trophic level
TrachysalambriaCurvirostris,mean_tl,SSP5-8.5,SSP5-8.5 vs Base,100,2.2742195104,2.27536603228395,0.00114652188395082,absolute difference,0.0504138619296768,-0.0242986940261292,0.126520100541242,1.32328435600763,99,0.18878885582097,0.132328435600763,0.18878885582097,ns,Trachysalambria curvirostris,Invertebrate,7,+0.1,Mean trophic level
PortunusTrituberculatus,mean_tl,SSP5-8.5,SSP5-8.5 vs Base,100,2.1413435907,2.15328752532099,0.0119439346209872,absolute difference,0.55777758753246,0.521681304639715,0.594317578030154,29.9792275504911,99,1.8093512142488e-51,2.99792275504911,2.53309169994832e-50,***,Portunus trituberculatus,Invertebrate,8,+0.6***,Mean trophic level
ScomberJaponicus,mean_tl,SSP5-8.5,SSP5-8.5 vs Base,100,2.53868698233333,2.53775996506173,-0.000927017271604931,absolute difference,-0.0365156192179694,-0.0567847365420698,-0.0159138727343686,-3.42847623039012,99,0.000885941430709186,-0.342847623039012,0.00124031800299286,**,Scomber japonicus,Mid-trophic species,9,-0.0**,Mean trophic level
