scenario,run,group,ingestion_log2,maintenance_log2,burden_log2
SSP1-2.6,69,Mid-trophic species,0.00277442418453329,0.230740913082199,0.227966488897666
SSP5-8.5,69,Mid-trophic species,-0.0143722439512604,0.441690487025063,0.456062730976324
SSP1-2.6,70,Mid-trophic species,0.00985316516161315,0.212936277641568,0.203083112479955
SSP5-8.5,70,Mid-trophic species,-0.00152480900592936,0.438507640341005,0.440032449346935
SSP1-2.6,71,Mid-trophic species,0.00815318882779418,0.252380111190644,0.24422692236285
SSP5-8.5,71,Mid-trophic species,0.0125081002672005,0.483579050548276,0.471070950281075
SSP1-2.6,72,Mid-trophic species,-2.54189936701522e-05,0.244397522015811,0.244422941009481
SSP5-8.5,72,Mid-trophic species,0.000342280282766173,0.461905494960702,0.461563214677935
SSP1-2.6,73,Mid-trophic species,0.00621732392456251,0.210658839730713,0.20444151580615
SSP5-8.5,73,Mid-trophic species,0.0170795277161226,0.439361881142836,0.422282353426714
SSP1-2.6,74,Mid-trophic species,-0.00608378353791252,0.225251690609467,0.231335474147379
SSP5-8.5,74,Mid-trophic species,0.0134028488891602,0.435962182064186,0.422559333175026
SSP1-2.6,75,Mid-trophic species,0.018706282586408,0.255892639981731,0.237186357395323
SSP5-8.5,75,Mid-trophic species,0.0111283118501544,0.502323250845409,0.491194938995255
SSP1-2.6,76,Mid-trophic species,0.00187726239962466,0.217742749204278,0.215865486804654
SSP5-8.5,76,Mid-trophic species,0.00907860159775455,0.447133625479402,0.438055023881648
SSP1-2.6,77,Mid-trophic species,0.0165073790609672,0.265161926684334,0.248654547623367
SSP5-8.5,77,Mid-trophic species,0.0191740701961195,0.456651503887624,0.437477433691505
SSP1-2.6,78,Mid-trophic species,-0.00648197964242789,0.24689243255017,0.253374412192598
SSP5-8.5,78,Mid-trophic species,0.0179379360725234,0.480086060379656,0.462148124307133
SSP1-2.6,79,Mid-trophic species,0.000794979191158613,0.279034474791133,0.278239495599974
SSP5-8.5,79,Mid-trophic species,0.0364763590134227,0.466136319438534,0.429659960425112
SSP1-2.6,80,Mid-trophic species,-0.000277053041719649,0.274306800394258,0.274583853435978
SSP5-8.5,80,Mid-trophic species,-0.00907227977439634,0.495523881660438,0.504596161434834
SSP1-2.6,81,Mid-trophic species,0.00900756971522195,0.208680727119635,0.199673157404413
