scenario,species,latin,group,species_order,mean,lo,hi,n_runs,metric,metric_label
SSP5-8.5,TodarodesPacificus,Todarodes pacificus,Invertebrate,6,1.02467856656901,0.88784575396605,1.18874081989198,100,maintenance_age_standardized,maintenance
Base,TrachysalambriaCurvirostris,Trachysalambria curvirostris,Invertebrate,7,0.185021776878517,0.15420050974125,0.226054548058333,100,maintenance_age_standardized,maintenance
SSP1-2.6,TrachysalambriaCurvirostris,Trachysalambria curvirostris,Invertebrate,7,0.26598306047392,0.238297295252624,0.30109469811713,100,maintenance_age_standardized,maintenance
SSP5-8.5,TrachysalambriaCurvirostris,Trachysalambria curvirostris,Invertebrate,7,0.312143146551482,0.270313637021759,0.362599747245679,100,maintenance_age_standardized,maintenance
Base,PortunusTrituberculatus,Portunus trituberculatus,Invertebrate,8,0.123453598446667,0.104293619160833,0.141925844266667,100,maintenance_age_standardized,maintenance
SSP1-2.6,PortunusTrituberculatus,Portunus trituberculatus,Invertebrate,8,0.171889319535926,0.155073137365123,0.187558519326852,100,maintenance_age_standardized,maintenance
SSP5-8.5,PortunusTrituberculatus,Portunus trituberculatus,Invertebrate,8,0.191207817647901,0.166643370160186,0.211522050974074,100,maintenance_age_standardized,maintenance
Base,ScomberJaponicus,Scomber japonicus,Mid-trophic species,9,1.08057735234463,1.03457202992483,1.13272003099375,100,maintenance_age_standardized,maintenance
SSP1-2.6,ScomberJaponicus,Scomber japonicus,Mid-trophic species,9,1.26690645408567,1.22176589957839,1.31423072476025,100,maintenance_age_standardized,maintenance
SSP5-8.5,ScomberJaponicus,Scomber japonicus,Mid-trophic species,9,1.5691106090213,1.51525529257073,1.61379460597453,100,maintenance_age_standardized,maintenance
Base,DecapterusMaruadsi,Decapterus maruadsi,Mid-trophic species,10,0.411889757907778,0.399565805322222,0.424928615819444,100,maintenance_age_standardized,maintenance
SSP1-2.6,DecapterusMaruadsi,Decapterus maruadsi,Mid-trophic species,10,0.447550317021399,0.440240193123457,0.455282959587449,100,maintenance_age_standardized,maintenance
SSP5-8.5,DecapterusMaruadsi,Decapterus maruadsi,Mid-trophic species,10,0.498553322264609,0.489721102889918,0.508272209080247,100,maintenance_age_standardized,maintenance
Base,PennahiaArgentata,Pennahia argentata,Mid-trophic species,11,0.100717103857898,0.0958714833517857,0.105648416952361,100,maintenance_age_standardized,maintenance
SSP1-2.6,PennahiaArgentata,Pennahia argentata,Mid-trophic species,11,0.12734239856587,0.123920914103483,0.130920136117813,100,maintenance_age_standardized,maintenance
SSP5-8.5,PennahiaArgentata,Pennahia argentata,Mid-trophic species,11,0.147888039128812,0.143557202479232,0.152527642782363,100,maintenance_age_standardized,maintenance
Base,PampusArgenteus,Pampus argenteus,Mid-trophic species,12,0.122371665396622,0.114867728030278,0.130538084523333,100,maintenance_age_standardized,maintenance
SSP1-2.6,PampusArgenteus,Pampus argenteus,Mid-trophic species,12,0.149139518140124,0.142382348687911,0.155574634827932,100,maintenance_age_standardized,maintenance
SSP5-8.5,PampusArgenteus,Pampus argenteus,Mid-trophic species,12,0.17216930948963,0.166282681555453,0.178861588429167,100,maintenance_age_standardized,maintenance
Base,LarimichthysPolyactis,Larimichthys polyactis,Mid-trophic species,13,0.201681993625633,0.1858298431135,0.219306077861917,100,maintenance_age_standardized,maintenance
SSP1-2.6,LarimichthysPolyactis,Larimichthys polyactis,Mid-trophic species,13,0.248279185958494,0.237428593584105,0.259730855956358,100,maintenance_age_standardized,maintenance
