species,run,latin,group,species_order,scenario,ingestion,maintenance,ingestion_base,maintenance_base,ingestion_log2,maintenance_log2,burden_log2
DecapterusMaruadsi,27,Decapterus maruadsi,Mid-trophic species,10,SSP1-2.6,38.6934497201646,0.449073098436214,38.7089519888889,0.412379050666667,-0.00057789024671819,0.122979256585364,0.123557146832083
DecapterusMaruadsi,27,Decapterus maruadsi,Mid-trophic species,10,SSP5-8.5,38.6133774238683,0.495022068518519,38.7089519888889,0.412379050666667,-0.00356649941250231,0.263521799248984,0.267088298661487
DecapterusMaruadsi,28,Decapterus maruadsi,Mid-trophic species,10,SSP1-2.6,38.717465526749,0.448033986090535,38.9711027,0.418041269222222,-0.00942023776465067,0.0999628007473467,0.109383038511997
DecapterusMaruadsi,28,Decapterus maruadsi,Mid-trophic species,10,SSP5-8.5,38.6350075761317,0.491316362962963,38.9711027,0.418041269222222,-0.0124960727503126,0.233006915042423,0.245502987792736
DecapterusMaruadsi,29,Decapterus maruadsi,Mid-trophic species,10,SSP1-2.6,38.7306840946502,0.455926928477366,38.8865757444444,0.415588047111111,-0.00579521650100467,0.133648460895024,0.139443677396029
DecapterusMaruadsi,29,Decapterus maruadsi,Mid-trophic species,10,SSP5-8.5,38.761273744856,0.491760541563786,38.8865757444444,0.415588047111111,-0.00465621988310821,0.242801818060763,0.247458037943871
DecapterusMaruadsi,30,Decapterus maruadsi,Mid-trophic species,10,SSP1-2.6,38.8471349300412,0.439061671316872,38.9283122333333,0.418637946333333,-0.00301159658199048,0.0687205104766366,0.0717321070586271
DecapterusMaruadsi,30,Decapterus maruadsi,Mid-trophic species,10,SSP5-8.5,38.6692832016461,0.504089802633745,38.9283122333333,0.418637946333333,-0.00963177493880271,0.26797768317163,0.277609458110433
DecapterusMaruadsi,31,Decapterus maruadsi,Mid-trophic species,10,SSP1-2.6,38.8232899012346,0.445621562633745,39.2184845777778,0.410520795555556,-0.0146114123446866,0.118363737396263,0.13297514974095
DecapterusMaruadsi,31,Decapterus maruadsi,Mid-trophic species,10,SSP5-8.5,38.9515397407407,0.494993369588477,39.2184845777778,0.410520795555556,-0.00985343149131501,0.26995389472677,0.279807326218085
DecapterusMaruadsi,32,Decapterus maruadsi,Mid-trophic species,10,SSP1-2.6,38.8851018312757,0.445860059218107,38.9182237444444,0.405902182444444,-0.00122834910735131,0.13545886965252,0.136687218759871
DecapterusMaruadsi,32,Decapterus maruadsi,Mid-trophic species,10,SSP5-8.5,38.7815772674897,0.508383383045268,38.9182237444444,0.405902182444444,-0.00507438617165565,0.324784778264371,0.329859164436027
DecapterusMaruadsi,33,Decapterus maruadsi,Mid-trophic species,10,SSP1-2.6,38.9905073497942,0.443694556625514,38.5375324444444,0.404383879222222,0.0168587284755984,0.13384136856435,0.116982640088751
DecapterusMaruadsi,33,Decapterus maruadsi,Mid-trophic species,10,SSP5-8.5,38.4800246131687,0.505744072757202,38.5375324444444,0.404383879222222,-0.00215447702010652,0.322682021420525,0.324836498440631
DecapterusMaruadsi,34,Decapterus maruadsi,Mid-trophic species,10,SSP1-2.6,38.4968460658436,0.450485542304527,39.0729487111111,0.421341741,-0.0214298803760713,0.0964899592911241,0.117919839667195
