species,latin,group,species_order,scenario,metric,estimate,lo,hi,pct,pct_lo,pct_hi
TrichiurusJaponicus,Trichiurus japonicus,Predator,3,SSP5-8.5,mbi_age_standardized,0.322503431451365,0.314826996442616,0.330623255448775,38.0579628243295,37.0022271726568,39.1835327143997
MuraenesoxCinereus,Muraenesox cinereus,Predator,4,SSP1-2.6,mbi_age_standardized,0.358459237122667,0.352583048257176,0.364071505264369,43.112269426031,42.2737806737713,43.9177119219259
MuraenesoxCinereus,Muraenesox cinereus,Predator,4,SSP5-8.5,mbi_age_standardized,0.587437816030984,0.581999679208409,0.592605486680843,79.9372181545203,78.9613507977953,80.8694811750605
MiichthysMiiuy,Miichthys miiuy,Predator,5,SSP1-2.6,mbi_age_standardized,0.475584691688247,0.461248033249218,0.489720989445331,60.8954664936594,58.6052196176872,63.1860850030916
MiichthysMiiuy,Miichthys miiuy,Predator,5,SSP5-8.5,mbi_age_standardized,0.715976536291905,0.701663134575711,0.730782184421219,104.618387975041,101.710463580653,107.670433834385
TodarodesPacificus,Todarodes pacificus,Invertebrate,6,SSP1-2.6,mbi_age_standardized,0.615689477537611,0.568152891473542,0.662170102805074,85.0932335981282,76.5003884925094,93.899559177491
TodarodesPacificus,Todarodes pacificus,Invertebrate,6,SSP5-8.5,mbi_age_standardized,0.814165914995023,0.766510146323243,0.859312772994628,125.729211343111,115.224212227862,136.153722376913
TrachysalambriaCurvirostris,Trachysalambria curvirostris,Invertebrate,7,SSP1-2.6,mbi_age_standardized,0.391427565273909,0.357001946283594,0.422680946734689,47.9090786091686,42.9038651165652,52.6047327903225
TrachysalambriaCurvirostris,Trachysalambria curvirostris,Invertebrate,7,SSP5-8.5,mbi_age_standardized,0.551343821545641,0.518641073582887,0.584449292511456,73.5583766321098,67.9743450272383,79.400274280358
PortunusTrituberculatus,Portunus trituberculatus,Invertebrate,8,SSP1-2.6,mbi_age_standardized,0.581548352548996,0.55008256427011,0.61494604123885,78.8805989932676,73.3396128545564,84.9556797072295
PortunusTrituberculatus,Portunus trituberculatus,Invertebrate,8,SSP5-8.5,mbi_age_standardized,0.662839395548108,0.630805205653612,0.695457534962677,94.0293781839396,87.9123050761631,100.462605065599
ScomberJaponicus,Scomber japonicus,Mid-trophic species,9,SSP1-2.6,mbi_age_standardized,0.127699155239663,0.121013764201678,0.134478135345154,13.6211128109522,12.8640447095167,14.3939646883412
ScomberJaponicus,Scomber japonicus,Mid-trophic species,9,SSP5-8.5,mbi_age_standardized,0.320070580965117,0.313807261209126,0.326275302658322,37.7224966772934,36.8625923819004,38.5796829912926
DecapterusMaruadsi,Decapterus maruadsi,Mid-trophic species,10,SSP1-2.6,mbi_age_standardized,0.0862252214904372,0.0821581300524376,0.0900874258344063,9.00518037528128,8.56274665853642,9.42699469866093
DecapterusMaruadsi,Decapterus maruadsi,Mid-trophic species,10,SSP5-8.5,mbi_age_standardized,0.198487454282384,0.19446704135183,0.202655430112225,21.955672710396,21.4663448560062,22.4650417881698
PennahiaArgentata,Pennahia argentata,Mid-trophic species,11,SSP1-2.6,mbi_age_standardized,0.253072775445491,0.246748373384103,0.25969138354705,28.7977006524411,27.9857026164861,29.6529894458827
PennahiaArgentata,Pennahia argentata,Mid-trophic species,11,SSP5-8.5,mbi_age_standardized,0.415639662418649,0.408619300256647,0.422277333649933,51.5339736624872,50.4738757770204,52.5431519516247
PampusArgenteus,Pampus argenteus,Mid-trophic species,12,SSP1-2.6,mbi_age_standardized,0.208055287975432,0.199429273758074,0.216495435972316,23.1281242714133,22.0705870439099,24.1717418108225
PampusArgenteus,Pampus argenteus,Mid-trophic species,12,SSP5-8.5,mbi_age_standardized,0.351606964395976,0.343033174229624,0.359866860919452,42.1349772854775,40.9215510789962,43.3138595103008
LarimichthysPolyactis,Larimichthys polyactis,Mid-trophic species,13,SSP1-2.6,mbi_age_standardized,0.227881111773667,0.217702433362164,0.237761205787183,25.5936000552541,24.3217072648304,26.8406268581634
LarimichthysPolyactis,Larimichthys polyactis,Mid-trophic species,13,SSP5-8.5,mbi_age_standardized,0.390854157260109,0.380615536018701,0.400966122230097,47.8242906695455,46.3184955344008,49.3266679098079
TrachurusJaponicus,Trachurus japonicus,Mid-trophic species,14,SSP1-2.6,mbi_age_standardized,0.0673072422222681,0.0585339314413264,0.0761123588986213,6.96240613683063,6.02809619454805,7.90838120147184
TrachurusJaponicus,Trachurus japonicus,Mid-trophic species,14,SSP5-8.5,mbi_age_standardized,0.226641173715391,0.216684184373766,0.236357685175823,25.4379682774915,24.1951812406023,26.662728295363
