scenario,run,group,indicator,value
Base,12,Mid-trophic species,biomass,2508138.52356
Base,13,Mid-trophic species,biomass,2485836.47652667
Base,14,Mid-trophic species,biomass,2495805.64146
Base,15,Mid-trophic species,biomass,2503674.63031333
Base,16,Mid-trophic species,biomass,2482487.70045333
Base,17,Mid-trophic species,biomass,2503543.14983333
Base,18,Mid-trophic species,biomass,2454173.05472333
Base,19,Mid-trophic species,biomass,2432878.76465667
Base,20,Mid-trophic species,biomass,2349292.56629667
Base,21,Mid-trophic species,biomass,2549701.14856333
Base,22,Mid-trophic species,biomass,2555519.29749667
Base,23,Mid-trophic species,biomass,2514543.26267667
Base,24,Mid-trophic species,biomass,2404299.67152667
Base,25,Mid-trophic species,biomass,2603105.04558
Base,26,Mid-trophic species,biomass,2531423.3802
Base,27,Mid-trophic species,biomass,2510930.46427
Base,28,Mid-trophic species,biomass,2461829.82771667
Base,29,Mid-trophic species,biomass,2497983.21189333
Base,30,Mid-trophic species,biomass,2467081.01589
Base,31,Mid-trophic species,biomass,2519680.27935867
Base,32,Mid-trophic species,biomass,2543524.35025
Base,33,Mid-trophic species,biomass,2471007.88301
Base,34,Mid-trophic species,biomass,2543834.91536667
Base,35,Mid-trophic species,biomass,2515413.07541
Base,36,Mid-trophic species,biomass,2545110.29962
Base,37,Mid-trophic species,biomass,2483496.29680667
Base,38,Mid-trophic species,biomass,2453168.08341333
Base,39,Mid-trophic species,biomass,2538985.65473
Base,40,Mid-trophic species,biomass,2470851.79551
Base,41,Mid-trophic species,biomass,2528313.75402
Base,42,Mid-trophic species,biomass,2409329.1941
Base,43,Mid-trophic species,biomass,2523018.73048333
Base,44,Mid-trophic species,biomass,2571727.37658667
Base,45,Mid-trophic species,biomass,2532238.53992667
Base,46,Mid-trophic species,biomass,2516936.1112
Base,47,Mid-trophic species,biomass,2545281.97613
Base,48,Mid-trophic species,biomass,2447092.62501
Base,49,Mid-trophic species,biomass,2537798.15912333
Base,50,Mid-trophic species,biomass,2481727.99505
Base,51,Mid-trophic species,biomass,2549232.15347767
Base,52,Mid-trophic species,biomass,2443244.14863333
Base,53,Mid-trophic species,biomass,2512560.57137333
Base,54,Mid-trophic species,biomass,2497970.85694333
Base,55,Mid-trophic species,biomass,2457208.24572333
Base,56,Mid-trophic species,biomass,2475335.45742
Base,57,Mid-trophic species,biomass,2522935.44984333
Base,58,Mid-trophic species,biomass,2588270.75967333
Base,59,Mid-trophic species,biomass,2514738.07652
Base,60,Mid-trophic species,biomass,2521706.54794667
Base,61,Mid-trophic species,biomass,2572358.118338
Base,62,Mid-trophic species,biomass,2637056.36447
Base,63,Mid-trophic species,biomass,2455533.11391333
Base,64,Mid-trophic species,biomass,2446270.59791667
Base,65,Mid-trophic species,biomass,2387329.27233667
Base,66,Mid-trophic species,biomass,2478281.36811333
