scenario,run,indicator,value
SSP5-8.5,77,yield,105260.247637831
SSP5-8.5,78,yield,105320.60675194
SSP5-8.5,79,yield,105077.309930062
SSP5-8.5,80,yield,103680.482356314
SSP5-8.5,81,yield,104037.937086093
SSP5-8.5,82,yield,105457.761479303
SSP5-8.5,83,yield,104502.439513316
SSP5-8.5,84,yield,104114.363064374
SSP5-8.5,85,yield,103281.393537002
SSP5-8.5,86,yield,104024.687018818
SSP5-8.5,87,yield,103960.458102487
SSP5-8.5,88,yield,105648.872266182
SSP5-8.5,89,yield,103921.220236208
SSP5-8.5,90,yield,105255.460435026
SSP5-8.5,91,yield,105259.171108862
SSP5-8.5,92,yield,105650.140321235
SSP5-8.5,93,yield,103729.475143042
SSP5-8.5,94,yield,105282.535317487
SSP5-8.5,95,yield,105691.740284295
SSP5-8.5,96,yield,103352.99817522
SSP5-8.5,97,yield,104545.721126305
SSP5-8.5,98,yield,104613.62202082
SSP5-8.5,99,yield,104611.289357019
SSP5-8.5,100,yield,104398.782152972
