scenario,run,group,age_mature
SSP1-2.6,32,Predator,0.743540124375142
SSP1-2.6,33,Predator,0.746123125323002
SSP1-2.6,34,Predator,0.754464199611568
SSP1-2.6,35,Predator,0.753625893679366
SSP1-2.6,36,Predator,0.741685740526916
SSP1-2.6,37,Predator,0.741835530067602
SSP1-2.6,38,Predator,0.756524850188692
SSP1-2.6,39,Predator,0.73734044106342
SSP1-2.6,40,Predator,0.750039886402458
SSP1-2.6,41,Predator,0.757759018686199
SSP1-2.6,42,Predator,0.750339285087533
SSP1-2.6,43,Predator,0.747243242115639
SSP1-2.6,44,Predator,0.750408532725959
SSP1-2.6,45,Predator,0.755390985034749
SSP1-2.6,46,Predator,0.747686695998323
SSP1-2.6,47,Predator,0.745139439341769
SSP1-2.6,48,Predator,0.753345275636925
SSP1-2.6,49,Predator,0.7560168740086
SSP1-2.6,50,Predator,0.751123290904905
SSP1-2.6,51,Predator,0.753833850920772
SSP1-2.6,52,Predator,0.759004321740839
SSP1-2.6,53,Predator,0.751036919412665
SSP1-2.6,54,Predator,0.747847672521084
SSP1-2.6,55,Predator,0.751065027266042
SSP1-2.6,56,Predator,0.746629263992887
SSP1-2.6,57,Predator,0.7545331248197
SSP1-2.6,58,Predator,0.752527270700408
SSP1-2.6,59,Predator,0.750802620685952
SSP1-2.6,60,Predator,0.750941084530087
SSP1-2.6,61,Predator,0.746763961668489
SSP1-2.6,62,Predator,0.749693002131106
SSP1-2.6,63,Predator,0.75805219696374
SSP1-2.6,64,Predator,0.759103327838273
SSP1-2.6,65,Predator,0.759697909819601
SSP1-2.6,66,Predator,0.750435603907047
SSP1-2.6,67,Predator,0.745007850941629
SSP1-2.6,68,Predator,0.747856416794863
SSP1-2.6,69,Predator,0.754752798133671
SSP1-2.6,70,Predator,0.74014186971942
SSP1-2.6,71,Predator,0.752258527131939
SSP1-2.6,72,Predator,0.744216998135174
SSP1-2.6,73,Predator,0.745227532445465
SSP1-2.6,74,Predator,0.751335233288326
SSP1-2.6,75,Predator,0.748747011468912
SSP1-2.6,76,Predator,0.747704961835376
SSP1-2.6,77,Predator,0.741910011318323
SSP1-2.6,78,Predator,0.749951359367208
SSP1-2.6,79,Predator,0.746271973116628
SSP1-2.6,80,Predator,0.749973471306964
SSP1-2.6,81,Predator,0.752672689913377
SSP1-2.6,82,Predator,0.752366255842391
SSP1-2.6,83,Predator,0.751934001651961
SSP1-2.6,84,Predator,0.753068144520326
SSP1-2.6,85,Predator,0.751947737282228
SSP1-2.6,86,Predator,0.74102972766622
SSP1-2.6,87,Predator,0.75107537633867
SSP1-2.6,88,Predator,0.749342842603045
SSP1-2.6,89,Predator,0.752254615263858
SSP1-2.6,90,Predator,0.745770082625694
SSP1-2.6,91,Predator,0.746296161297069
SSP1-2.6,92,Predator,0.755076040653859
SSP1-2.6,93,Predator,0.759194354417165
SSP1-2.6,94,Predator,0.746130636766493
SSP1-2.6,95,Predator,0.748098921263246
SSP1-2.6,96,Predator,0.748583730590751
SSP1-2.6,97,Predator,0.74441785668294
SSP1-2.6,98,Predator,0.749417115579091
