run,species,scenario,age_future,latin,group,species_order,age_base,log2_response,paired_change_years
55,MiichthysMiiuy,SSP1-2.6,0.585932011481481,Miichthys miiuy,Predator,5,0.581568913666667,0.0107831158824545,0.00436309781481403
55,MiichthysMiiuy,SSP5-8.5,0.586276651111111,Miichthys miiuy,Predator,5,0.581568913666667,0.0116314459021078,0.00470773744444408
55,MuraenesoxCinereus,SSP1-2.6,0.703856228024691,Muraenesox cinereus,Predator,4,0.689061898,0.0306471842024855,0.0147943300246911
55,MuraenesoxCinereus,SSP5-8.5,0.698984329382716,Muraenesox cinereus,Predator,4,0.689061898,0.0206265268570313,0.00992243138271609
55,PampusArgenteus,SSP1-2.6,0.436687052839506,Pampus argenteus,Mid-trophic species,12,0.438508689666667,-0.00600567412376661,-0.00182163682716102
55,PampusArgenteus,SSP5-8.5,0.435096194567901,Pampus argenteus,Mid-trophic species,12,0.438508689666667,-0.0112710331304444,-0.00341249509876601
55,PennahiaArgentata,SSP1-2.6,0.598789858888889,Pennahia argentata,Mid-trophic species,11,0.579442906,0.0473832723241551,0.019346952888889
55,PennahiaArgentata,SSP5-8.5,0.622061697283951,Pennahia argentata,Mid-trophic species,11,0.579442906,0.102391160959403,0.042618791283951
55,PortunusTrituberculatus,SSP1-2.6,0.958329650123457,Portunus trituberculatus,Invertebrate,8,1.01167052766667,-0.0781456112140535,-0.0533408775432129
55,PortunusTrituberculatus,SSP5-8.5,0.990180985555556,Portunus trituberculatus,Invertebrate,8,1.01167052766667,-0.030975371150756,-0.021489542111114
55,ScomberJaponicus,SSP1-2.6,0.790784505925926,Scomber japonicus,Mid-trophic species,9,0.801704774,-0.0197864610407856,-0.010920268074074
55,ScomberJaponicus,SSP5-8.5,0.791056647160494,Scomber japonicus,Mid-trophic species,9,0.801704774,-0.0192900561866825,-0.010648126839506
55,ScomberomorusNiphonius,SSP1-2.6,0.667142523950617,Scomberomorus niphonius,Predator,2,0.656318951333333,0.0235979104434236,0.0108235726172841
55,ScomberomorusNiphonius,SSP5-8.5,0.669076971111111,Scomberomorus niphonius,Predator,2,0.656318951333333,0.0277750973282506,0.012758019777778
55,TodarodesPacificus,SSP1-2.6,1.04091773320988,Todarodes pacificus,Invertebrate,6,1.02400541866667,0.0236327031313024,0.01691231454321
55,TodarodesPacificus,SSP5-8.5,1.01559969358025,Todarodes pacificus,Invertebrate,6,1.02400541866667,-0.0118914847608736,-0.00840572508642001
55,TrachurusJaponicus,SSP1-2.6,0.462763062469136,Trachurus japonicus,Mid-trophic species,14,0.473263056333333,-0.0323685936042317,-0.010499993864197
55,TrachurusJaponicus,SSP5-8.5,0.464844605802469,Trachurus japonicus,Mid-trophic species,14,0.473263056333333,-0.0258937931304683,-0.00841845053086399
55,TrachysalambriaCurvirostris,SSP1-2.6,0.906173761111111,Trachysalambria curvirostris,Invertebrate,7,0.958693031,-0.0812812277944485,-0.052519269888889
55,TrachysalambriaCurvirostris,SSP5-8.5,0.903469243827161,Trachysalambria curvirostris,Invertebrate,7,0.958693031,-0.085593455750843,-0.0552237871728391
55,TrichiurusJaponicus,SSP1-2.6,1.15653918666667,Trichiurus japonicus,Predator,3,1.21866014133333,-0.0754816955630746,-0.0621209546666599
55,TrichiurusJaponicus,SSP5-8.5,1.10372877320988,Trichiurus japonicus,Predator,3,1.21866014133333,-0.142910152375546,-0.11493136812345
