run,group,scenario,age_future,age_base,log2_response,paired_change_years
13,Invertebrate,SSP1-2.6,0.944823613336147,0.99079730252612,-0.068544919326365,-0.0459736891899722
13,Invertebrate,SSP5-8.5,0.944358661671307,0.99079730252612,-0.0692550503534614,-0.0464386408548126
13,Mid-trophic species,SSP1-2.6,0.5986517398485,0.595193938261873,0.00835713902122124,0.00345780158662734
13,Mid-trophic species,SSP5-8.5,0.594837222390977,0.595193938261873,-0.00086490547538215,-0.000356715870896251
14,Prey,SSP1-2.6,0.681589560864198,0.721841594333333,-0.0827790377514385,-0.040252033469135
14,Prey,SSP5-8.5,0.670878888641975,0.721841594333333,-0.105629931984267,-0.050962705691358
14,Predator,SSP1-2.6,0.752173509267506,0.767768823512731,-0.0296064812994718,-0.0155953142452243
14,Predator,SSP5-8.5,0.747654104500739,0.767768823512731,-0.0383010039486097,-0.0201147190119912
14,Invertebrate,SSP1-2.6,0.965347206955114,0.922243808268689,0.0658997325966753,0.0431033986864248
14,Invertebrate,SSP5-8.5,0.929858994539457,0.922243808268689,0.0118637619497245,0.00761518627076852
14,Mid-trophic species,SSP1-2.6,0.595672560344565,0.598839270013154,-0.00764932907575741,-0.00316670966858856
14,Mid-trophic species,SSP5-8.5,0.596576572097176,0.598839270013154,-0.00546150861633931,-0.00226269791597811
15,Prey,SSP1-2.6,0.690414879012346,0.724932359666667,-0.0703828335878614,-0.034517480654321
15,Prey,SSP5-8.5,0.670628504444444,0.724932359666667,-0.112332584858966,-0.054303855222223
15,Predator,SSP1-2.6,0.744812182318562,0.764003830260341,-0.0367032009531057,-0.0191916479417795
15,Predator,SSP5-8.5,0.742883808071983,0.764003830260341,-0.0404432897059173,-0.0211200221883582
15,Invertebrate,SSP1-2.6,0.975173218355686,0.984670505734212,-0.0139825400249142,-0.00949728737852651
15,Invertebrate,SSP5-8.5,0.943623263468923,0.984670505734212,-0.0614300588364324,-0.0410472422652892
15,Mid-trophic species,SSP1-2.6,0.600258675551583,0.596639924997898,0.00872382904227116,0.0036187505536851
15,Mid-trophic species,SSP5-8.5,0.593074767594185,0.596639924997898,-0.0086465273301043,-0.00356515740371344
16,Prey,SSP1-2.6,0.683371278395062,0.704238481,-0.043394447496153,-0.020867202604938
16,Prey,SSP5-8.5,0.66873372691358,0.704238481,-0.0746321810707202,-0.03550475408642
16,Predator,SSP1-2.6,0.752543691995706,0.765194747718126,-0.0240516252340353,-0.0126510557224199
16,Predator,SSP5-8.5,0.755300307133587,0.765194747718126,-0.0187765975494351,-0.0098944405845397
16,Invertebrate,SSP1-2.6,0.955118557020094,0.940180323511746,0.0227423356896357,0.0149382335083481
16,Invertebrate,SSP5-8.5,0.981668140363024,0.940180323511746,0.0622979065005816,0.0414878168512786
16,Mid-trophic species,SSP1-2.6,0.597074042629575,0.596140706201694,0.00225696189545788,0.000933336427881737
16,Mid-trophic species,SSP5-8.5,0.595881051780925,0.596140706201694,-0.000628515626671696,-0.000259654420768474
17,Prey,SSP1-2.6,0.683518268395062,0.707040085,-0.0488121123857871,-0.023521816604938
17,Prey,SSP5-8.5,0.672747488765432,0.707040085,-0.0717269090698167,-0.034292596234568
17,Predator,SSP1-2.6,0.753329948143043,0.747467983721614,0.0112700981636777,0.00586196442142872
17,Predator,SSP5-8.5,0.745067834491452,0.747467983721614,-0.00464000439295547,-0.00240014923016252
17,Invertebrate,SSP1-2.6,0.964939377228859,0.943091193489129,0.0330410262218679,0.0218481837397304
17,Invertebrate,SSP5-8.5,0.937180792742678,0.943091193489129,-0.00906989413597444,-0.00591040074645088
17,Mid-trophic species,SSP1-2.6,0.595351391641944,0.598402564072007,-0.00737492160493952,-0.00305117243006336
17,Mid-trophic species,SSP5-8.5,0.595816412522662,0.598402564072007,-0.00624849197805052,-0.00258615154934538
18,Prey,SSP1-2.6,0.681729610246914,0.716014978666667,-0.0707901218197902,-0.0342853684197529
18,Prey,SSP5-8.5,0.663819470987654,0.716014978666667,-0.109198821437608,-0.0521955076790129
18,Predator,SSP1-2.6,0.747977982514688,0.757002587373429,-0.0173024276777844,-0.00902460485874179
18,Predator,SSP5-8.5,0.74652371388339,0.757002587373429,-0.0201101418607238,-0.0104788734900395
18,Invertebrate,SSP1-2.6,0.957371159894398,0.97476858287911,-0.0259814066818781,-0.0173974229847119
18,Invertebrate,SSP5-8.5,0.956915041545203,0.97476858287911,-0.0266689106636756,-0.0178535413339067
18,Mid-trophic species,SSP1-2.6,0.597644447427669,0.596927779703042,0.00173105162307976,0.000716667724626974
18,Mid-trophic species,SSP5-8.5,0.594569079622033,0.596927779703042,-0.00571195690250622,-0.00235870008100869
19,Prey,SSP1-2.6,0.684277971111111,0.691563389666667,-0.0152789932914089,-0.00728541855555598
19,Prey,SSP5-8.5,0.662289529259259,0.691563389666667,-0.0623994473538207,-0.029273860407408
19,Predator,SSP1-2.6,0.741667843081514,0.745101028949967,-0.0066628366030939,-0.00343318586845365
19,Predator,SSP5-8.5,0.742409016814321,0.745101028949967,-0.00522182261446079,-0.00269201213564618
19,Invertebrate,SSP1-2.6,0.93851853659469,0.953461543448047,-0.0227895107266644,-0.0149430068533565
19,Invertebrate,SSP5-8.5,0.949083618395727,0.953461543448047,-0.00663955004785082,-0.00437792505232015
19,Mid-trophic species,SSP1-2.6,0.598921273889983,0.598860053880476,0.000147475673813182,6.12200095077009e-05
