species,scenario,metric,estimate,lo,hi,latin,group,species_order,pct,pct_lo,pct_hi
EngraulisJaponicus,SSP5-8.5,eggs_per_biomass,0.105975460357438,0.0992535844249714,0.112686958417079,Engraulis japonicus,Prey,1,11.1794593129852,10.4346309078112,11.9281496449467
EngraulisJaponicus,SSP5-8.5,mean_size,0.0180156823601857,0.0149768400819682,0.0212698855463679,Engraulis japonicus,Prey,1,1.81789437135196,1.50895549525916,2.14977019042359
EngraulisJaponicus,SSP5-8.5,biomass,-0.307607532937478,-0.315823126699872,-0.299129425341109,Engraulis japonicus,Prey,1,-26.4796195327816,-27.0811587276756,-25.8536560933875
EngraulisJaponicus,SSP5-8.5,abundance,-0.34561365523632,-0.357204124231,-0.334434410205822,Engraulis japonicus,Prey,1,-29.2214116339604,-30.037032821075,-28.4257211289439
EngraulisJaponicus,SSP5-8.5,yield,-0.310236612745973,-0.319539880227095,-0.301004380567236,Engraulis japonicus,Prey,1,-26.6726566144437,-27.3516770517904,-25.9925469206635
EngraulisJaponicus,SSP5-8.5,mean_tl,-0.00409337740556692,-0.0045044035907857,-0.00370182652504994,Engraulis japonicus,Prey,1,-0.408501095584646,-0.449427397992386,-0.369498321209594
LarimichthysPolyactis,SSP1-2.6,ingestion,-0.584369020426802,-0.592671431024115,-0.576253082626785,Larimichthys polyactis,Mid-trophic species,13,-44.2542504843851,-44.7151586141175,-43.7999805288513
LarimichthysPolyactis,SSP1-2.6,maintenance,0.285194438698589,0.279121706841844,0.29135445179037,Larimichthys polyactis,Mid-trophic species,13,33.0020610458047,32.1968226656957,33.8238841047584
LarimichthysPolyactis,SSP1-2.6,enet,0.113953547134747,0.109147678144834,0.11892471023229,Larimichthys polyactis,Mid-trophic species,13,12.0700063945913,11.5327047609329,12.6285117351211
LarimichthysPolyactis,SSP1-2.6,mbi,0.868231203750081,0.855869083397144,0.880610479650019,Larimichthys polyactis,Mid-trophic species,13,138.269262624974,135.341880927037,141.237196097121
LarimichthysPolyactis,SSP1-2.6,age_mature,0.0111565979424367,0.00690774439337882,0.0154563581159354,Larimichthys polyactis,Mid-trophic species,13,1.12190648712585,0.693165789074546,1.55764254225392
LarimichthysPolyactis,SSP1-2.6,ingestion_age_standardized,-0.020139240762309,-0.0218307884944466,-0.0183673584587427,Larimichthys polyactis,Mid-trophic species,13,-1.99378008021303,-2.15942214402858,-1.81997065404838
LarimichthysPolyactis,SSP1-2.6,maintenance_age_standardized,0.207861694892244,0.19825330972543,0.217244569860414,Larimichthys polyactis,Mid-trophic species,13,23.1042898253749,21.9271207962092,24.2647979219484
LarimichthysPolyactis,SSP1-2.6,enet_age_standardized,0.102001792829864,0.0953823148153648,0.108935408406059,Larimichthys polyactis,Mid-trophic species,13,10.7385457079872,10.0079351374116,11.5090322553957
LarimichthysPolyactis,SSP1-2.6,mbi_age_standardized,0.227881111773667,0.217702433362164,0.237761205787183,Larimichthys polyactis,Mid-trophic species,13,25.5936000552541,24.3217072648304,26.8406268581634
LarimichthysPolyactis,SSP1-2.6,length_age1,0.0219275914040604,0.0162482210211794,0.0277661611372,Larimichthys polyactis,Mid-trophic species,13,2.21697679130466,1.63809412123377,2.81552336585338
LarimichthysPolyactis,SSP1-2.6,age_standardized_size,0.0521368773469885,0.0466664139171181,0.0581378278593576,Larimichthys polyactis,Mid-trophic species,13,5.35199356585445,4.77724284751184,5.98610640255859
LarimichthysPolyactis,SSP1-2.6,max_realized_size,0.00408768634305602,-0.000455514349751265,0.00863636982545871,Larimichthys polyactis,Mid-trophic species,13,0.40960523281659,-0.0455410618840801,0.867377085952614
LarimichthysPolyactis,SSP1-2.6,reproductive_allocation,0.0573461133537952,0.040749584924512,0.0737539666632651,Larimichthys polyactis,Mid-trophic species,13,5.90222887264145,4.15912427351755,7.65419077130238
LarimichthysPolyactis,SSP1-2.6,egg_production,0.0909551242638056,0.0790867124253264,0.10313102449712,Larimichthys polyactis,Mid-trophic species,13,9.52198553583507,8.22981667004692,10.8636658120827
LarimichthysPolyactis,SSP1-2.6,eggs_per_biomass,0.00237343365275554,-0.00797892321956393,0.013080100123523,Larimichthys polyactis,Mid-trophic species,13,0.23762524760631,-0.794717610373774,1.31660188329021
LarimichthysPolyactis,SSP1-2.6,mean_size,0.03263271695818,0.027101993668428,0.0382148143950591,Larimichthys polyactis,Mid-trophic species,13,3.31710033581916,2.74725931184037,3.89543912678767
LarimichthysPolyactis,SSP1-2.6,biomass,0.0862644948196399,0.0746242954236963,0.0984714320988665,Larimichthys polyactis,Mid-trophic species,13,9.00946145568056,7.7479260940684,10.3482879754286
LarimichthysPolyactis,SSP1-2.6,abundance,0.0938750087116228,0.0770544959490192,0.110543255023125,Larimichthys polyactis,Mid-trophic species,13,9.84224441001165,8.01009359143221,11.6884658879037
LarimichthysPolyactis,SSP1-2.6,yield,0.100582011980245,0.0885956356883689,0.112416960438788,Larimichthys polyactis,Mid-trophic species,13,10.5814328008168,9.2638742872214,11.8979333501815
LarimichthysPolyactis,SSP1-2.6,mean_tl,-0.00338548651229305,-0.00406395932638835,-0.00268968300948696,Larimichthys polyactis,Mid-trophic species,13,-0.337976221449698,-0.405571261889537,-0.268606905299973
LarimichthysPolyactis,SSP5-8.5,ingestion,-0.583446788047225,-0.591594065610104,-0.575372862698238,Larimichthys polyactis,Mid-trophic species,13,-44.2028162356387,-44.6555645415573,-43.750490373813
LarimichthysPolyactis,SSP5-8.5,maintenance,0.450127497396481,0.444127742945112,0.456226815268893,Larimichthys polyactis,Mid-trophic species,13,56.8512153958146,55.9129640713431,57.8108243222056
LarimichthysPolyactis,SSP5-8.5,enet,0.0894118952356615,0.0845053403045231,0.0946756726323923,Larimichthys polyactis,Mid-trophic species,13,9.3530983778364,8.81786554218829,9.9302263493692
LarimichthysPolyactis,SSP5-8.5,mbi,1.03229797815898,1.02033519751555,1.04473627173784,Larimichthys polyactis,Mid-trophic species,13,180.751002427672,177.412448777116,184.264873797469
LarimichthysPolyactis,SSP5-8.5,age_mature,0.00863777108010934,0.00433081024522055,0.0130594650808237,Larimichthys polyactis,Mid-trophic species,13,0.86751842693289,0.434020175663408,1.31451123245461
LarimichthysPolyactis,SSP5-8.5,ingestion_age_standardized,-0.0264374749410682,-0.0280900848713645,-0.0246913797363498,Larimichthys polyactis,Mid-trophic species,13,-2.60910643545214,-2.76992267342073,-2.43890411172862
LarimichthysPolyactis,SSP5-8.5,maintenance_age_standardized,0.364535994948414,0.355429502831969,0.374337520140462,Larimichthys polyactis,Mid-trophic species,13,43.9845757420402,42.6793334475913,45.402783132272
LarimichthysPolyactis,SSP5-8.5,enet_age_standardized,0.153106065481944,0.146220781943421,0.160532043967245,Larimichthys polyactis,Mid-trophic species,13,16.544858625337,15.745170427976,17.4135396493999
LarimichthysPolyactis,SSP5-8.5,mbi_age_standardized,0.390854157260109,0.380615536018701,0.400966122230097,Larimichthys polyactis,Mid-trophic species,13,47.8242906695455,46.3184955344008,49.3266679098079
LarimichthysPolyactis,SSP5-8.5,length_age1,0.0242423582082111,0.0185178121678385,0.0297208119417065,Larimichthys polyactis,Mid-trophic species,13,2.45385931413107,1.86903300911094,3.01668835091755
LarimichthysPolyactis,SSP5-8.5,age_standardized_size,0.085812761603439,0.0803059216731677,0.0916014281840411,Larimichthys polyactis,Mid-trophic species,13,8.96022938177961,8.36185193637653,9.59279290351378
LarimichthysPolyactis,SSP5-8.5,max_realized_size,0.0520374370000896,0.0475808280946149,0.0561206773057316,Larimichthys polyactis,Mid-trophic species,13,5.34151784793091,4.87309646212371,5.77253194768463
LarimichthysPolyactis,SSP5-8.5,reproductive_allocation,0.0263775750290207,0.00937726110080039,0.0444342470745355,Larimichthys polyactis,Mid-trophic species,13,2.6728542355128,0.942136536494798,4.54362339596923
LarimichthysPolyactis,SSP5-8.5,egg_production,0.154915689598057,0.143486461055725,0.166745635754505,Larimichthys polyactis,Mid-trophic species,13,16.7559519542974,15.4291182817314,18.1453707503506
LarimichthysPolyactis,SSP5-8.5,eggs_per_biomass,0.0244543159045766,0.0146271663021019,0.0355357510122179,Larimichthys polyactis,Mid-trophic species,13,2.47557749972203,1.47346668021651,3.61746917599521
LarimichthysPolyactis,SSP5-8.5,mean_size,0.0237182105456565,0.0182128097873829,0.0292777499864601,Larimichthys polyactis,Mid-trophic species,13,2.40017243440724,1.83796744932412,2.9710556853493
LarimichthysPolyactis,SSP5-8.5,biomass,0.126969159402645,0.115211296493493,0.138873037535203,Larimichthys polyactis,Mid-trophic species,13,13.5382001382377,12.2110510540902,14.8978213636753
LarimichthysPolyactis,SSP5-8.5,abundance,0.136151251236231,0.118875137573778,0.153405416967943,Larimichthys polyactis,Mid-trophic species,13,14.5855192503102,12.6229285787573,16.5797517243419
LarimichthysPolyactis,SSP5-8.5,yield,0.141240495778733,0.129823450780084,0.153539022677652,Larimichthys polyactis,Mid-trophic species,13,15.1701594052959,13.8627341809311,16.5953284853576
LarimichthysPolyactis,SSP5-8.5,mean_tl,-0.00107476327443405,-0.00173624975079281,-0.00037374795814988,Larimichthys polyactis,Mid-trophic species,13,-0.107418592324315,-0.173474334115487,-0.0373678123082311
MiichthysMiiuy,SSP1-2.6,ingestion,-0.490765748119014,-0.497435297846354,-0.48416519666724,Miichthys miiuy,Predator,5,-38.7842543757502,-39.1911773304218,-38.3788602565531
MiichthysMiiuy,SSP1-2.6,maintenance,0.490972892567457,0.48526090078485,0.496870965984408,Miichthys miiuy,Predator,5,63.3905061034028,62.4598812661741,64.3570428544629
MiichthysMiiuy,SSP1-2.6,enet,-0.0618973338968516,-0.0685853009784427,-0.0551381825256555,Miichthys miiuy,Predator,5,-6.00206141420015,-6.62861899951234,-5.36456307188841
MiichthysMiiuy,SSP1-2.6,mbi,0.981402284131822,0.971506492114909,0.99176160506286,Miichthys miiuy,Predator,5,166.819518755678,164.192149681736,169.597954286412
MiichthysMiiuy,SSP1-2.6,age_mature,-0.0024501040757767,-0.00585653197145114,0.00094237311324678,Miichthys miiuy,Predator,5,-0.244710502061807,-0.583941591795723,0.0942817286303743
MiichthysMiiuy,SSP1-2.6,ingestion_age_standardized,-1.11416495658405e-06,-0.00468466023521813,0.00436994318810669,Miichthys miiuy,Predator,5,-0.00011141643359025,-0.467370432936731,0.43795053134148
MiichthysMiiuy,SSP1-2.6,maintenance_age_standardized,0.475949158810963,0.463631301521095,0.488370713861502,Miichthys miiuy,Predator,5,60.9541182890667,58.9836691996649,62.9658875139939
MiichthysMiiuy,SSP1-2.6,enet_age_standardized,-0.00275866441562112,-0.0104437345724993,0.00467120709484023,Miichthys miiuy,Predator,5,-0.275486279754178,-1.03893881343894,0.468213419031849
MiichthysMiiuy,SSP1-2.6,mbi_age_standardized,0.475584691688247,0.461248033249218,0.489720989445331,Miichthys miiuy,Predator,5,60.8954664936594,58.6052196176872,63.1860850030916
MiichthysMiiuy,SSP1-2.6,length_age1,0.0297975863687069,0.0244880593061434,0.0352333448558844,Miichthys miiuy,Predator,5,3.02459770175123,2.47903543262527,3.58613935281715
MiichthysMiiuy,SSP1-2.6,age_standardized_size,0.027095148014582,0.0226703986055122,0.0311818641460658,Miichthys miiuy,Predator,5,2.746555942077,2.29293250450879,3.1673111175869
MiichthysMiiuy,SSP1-2.6,max_realized_size,0.0214696532780675,0.018050183224768,0.0250090472738886,Miichthys miiuy,Predator,5,2.17017845669685,1.82140723733581,2.53243968731092
MiichthysMiiuy,SSP1-2.6,reproductive_allocation,0.142161299143411,0.118165693457288,0.165886120726609,Miichthys miiuy,Predator,5,15.2762573157467,12.5430572401708,18.0438666571101
MiichthysMiiuy,SSP1-2.6,egg_production,0.041812838700722,0.0230358149978391,0.0615312848449534,Miichthys miiuy,Predator,5,4.26993075299298,2.33031884924071,6.34637663074193
MiichthysMiiuy,SSP1-2.6,eggs_per_biomass,-0.0186075935555501,-0.0294926304918428,-0.00754203604584003,Miichthys miiuy,Predator,5,-1.84355411000252,-2.90619670494173,-0.75136662587707
MiichthysMiiuy,SSP1-2.6,mean_size,0.177149699148294,0.168141170328201,0.186613792046684,Miichthys miiuy,Predator,5,19.3809792060363,18.3103617985339,20.5161752105753
MiichthysMiiuy,SSP1-2.6,biomass,0.0579758213465724,0.0422684356667528,0.0725122139701565,Miichthys miiuy,Predator,5,5.96893735384303,4.31744664031744,7.52059385432007
MiichthysMiiuy,SSP1-2.6,abundance,-0.142223552238242,-0.173567148812034,-0.111846538623244,Miichthys miiuy,Predator,5,-13.2572680509587,-15.9339300100737,-10.581853070892
MiichthysMiiuy,SSP1-2.6,yield,0.0613508502359157,0.044357981954692,0.0776183044310919,Miichthys miiuy,Predator,5,6.32718979488867,4.53565066802646,8.07100776869982
MiichthysMiiuy,SSP1-2.6,mean_tl,-0.00501160154590147,-0.00557884374192607,-0.00445649492454349,Miichthys miiuy,Predator,5,-0.499906442330556,-0.556331089171613,-0.444657948587313
MiichthysMiiuy,SSP5-8.5,ingestion,-0.481397797096885,-0.488479318945116,-0.474150340656453,Miichthys miiuy,Predator,5,-38.2080937603227,-38.6441287764691,-37.7586328546612
