scenario,run,species,latin,group,species_order,ingestion,maintenance,enet,mbi,ingestion_age_standardized,maintenance_age_standardized,enet_age_standardized,mbi_age_standardized,abundance,age_mature,biomass,max_realized_size,mean_size,mean_tl,yield,length_age1,age_standardized_size,reproductive_allocation,egg_production,eggs_per_biomass
SSP1-2.6,38,MiichthysMiiuy,Miichthys miiuy,Predator,5,13.5748799469283,0.727167238503736,1.38900742759971,0.0535671211345245,102.015681481481,0.578928417901235,114.871628222222,0.00567489634430688,126273837.518519,0.577076704320988,74214.0728518519,402.943993333333,28.7252653209877,3.01132951604938,27554.1072037037,94.5238679135803,145.151650475915,0.00447839077782651,1104888824215540,14930125815.782
SSP1-2.6,38,TodarodesPacificus,Todarodes pacificus,Invertebrate,6,27.4880957971835,0.730331954506094,0.625910190170159,0.026569026821455,12.9732276506173,0.829506353580247,3.45768036962963,0.0639398595260739,458380601296.296,0.998923552222222,930451.984320988,75.5403130987654,2.03389451975309,2.42426436666667,158869.479691358,7.31726782839506,7.31726782839506,0.000811601938370546,51212079264444500,56306651312.0663
SSP1-2.6,38,TrachysalambriaCurvirostris,Trachysalambria curvirostris,Invertebrate,7,6.82435864002568,0.278353469987931,0.254214350979435,0.0407882241644446,25.8261434277778,0.251848934203704,7.1181458255679,0.00975170508550739,5796378758827.16,0.85142013691358,266841.603506173,122.070051,0.822761636296296,2.27114399259259,90716.8383703704,4.03539763222222,8.65963343289121,0.00101877102086042,8204068610962960,32573731270.7393
SSP1-2.6,38,PortunusTrituberculatus,Portunus trituberculatus,Invertebrate,8,7.8113333303059,0.165207969704231,0.488528417622502,0.0211497784972597,5.83111037037037,0.167630431259259,0.721731469382716,0.0287476004760671,33824044385185.2,1.00808900222222,415410.247283951,19.2668727037037,0.407258940493827,2.15174847901235,92265.5055802469,0.782952817777778,0.782952817777778,3.22206399685416e-05,2071082096223460,5067547452.04647
SSP1-2.6,38,ScomberJaponicus,Scomber japonicus,Mid-trophic species,9,5.40173815777567,0.869674393865251,2.36572609291228,0.160998991151279,7.3930102554321,1.2648586483963,3.96801330582716,0.171088447695163,26192503465.4321,0.794235183950617,1096544.25839506,49.2941511481482,13.8041609382716,2.53776601481481,199108.149259259,26.1425027901235,31.1564318427881,0.00566978543343384,909911687494797,835193411.972225
SSP1-2.6,38,DecapterusMaruadsi,Decapterus maruadsi,Mid-trophic species,10,3.94351902060524,0.373566026399517,3.54827043774879,0.0947291047532931,38.9013153127572,0.445978070288066,38.5184341604938,0.0114643442439545,212560252.888889,0.538468371111111,48182.01,243.750393703704,28.965153617284,2.71532619753086,10991.9791975309,52.9428639259259,112.511991275312,0.0428091121464405,99503355794846.7,2106469424.38202
SSP1-2.6,38,PennahiaArgentata,Pennahia argentata,Mid-trophic species,11,10.4307092809128,0.0884091970051593,5.45220331676284,0.0084758566866531,34.5489779453263,0.126092144795414,37.0021605308642,0.00364966352969848,2376205637.03704,0.605751084444445,678612.956790124,734.276431358025,18.790621037037,2.88679728518519,115985.318419753,29.7440758024691,196.450328861941,0.0841969596512385,4983212156034460,7459464471.19946
SSP1-2.6,38,PampusArgenteus,Pampus argenteus,Mid-trophic species,12,16.444357576098,0.118692180565711,6.3407187434916,0.00721780586541314,103.419647806584,0.146817383707819,89.4617223497943,0.00141962757388613,14520203.6,0.435859791234568,16131.5815271605,323.104184320988,32.9806614567901,2.80884210123457,9519.07333333333,51.5638063950617,96.6705396107496,0.114377827858527,26412422935029.5,1724600081.22538
SSP1-2.6,38,LarimichthysPolyactis,Larimichthys polyactis,Mid-trophic species,13,9.85398085898643,0.223368743536523,1.72985158696661,0.0226678686241632,38.7561490641975,0.237508699182716,36.349534228642,0.00612828428307713,114322951407.407,0.8789976,656683.062962963,436.655572098765,5.13946398271605,2.59186458888889,205673.004074074,14.9814693580247,93.5861904051491,0.00258172876877497,1054332615041960,1632995454.49581
SSP1-2.6,38,TrachurusJaponicus,Trachurus japonicus,Mid-trophic species,14,3.23158022456492,0.485080154228043,1.50430418300122,0.150106177324857,125.206913740741,0.612309529382716,89.9336278395062,0.00489038113862141,75383982.382716,0.463702754074074,10867.8084585185,93.9946159382716,27.1291375802469,2.68823474197531,2268.06948407407,30.5986687654321,48.9494116766097,0.0300421092636584,128615411720491,12780937107.2276
SSP1-2.6,39,EngraulisJaponicus,Engraulis japonicus,Prey,1,4.67806954653244,1.16001153975271,1.55748789702228,0.247967997956028,27.7447086296296,1.49665881740741,17.1077517320988,0.0539439371083922,385299023864.198,0.688244452839506,806681.555555556,92.8859414197531,5.69464448024691,2.32209402592593,126870.240061728,9.66878367283951,20.9450323598509,0.0535707175608505,13611239480086400,17020757268.404
SSP1-2.6,39,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,3.90112197943541,1.27716969975008,1.67556266247358,0.327385225707533,102.358263598765,1.17716262740741,79.3266676049383,0.0115004161463873,494204189.876543,0.666194771604938,91444.3895185185,238.760087654321,34.1200669382716,3.08578140987654,35111.9321234568,78.0888457530864,126.343272284914,0.0100889276787046,548296257377322,5998199736.10038
SSP1-2.6,39,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,10.9937011643101,0.674142160077412,1.39432988942803,0.0613207644997615,5.09259307266314,0.848278604197531,1.47859526299012,0.16657105566731,173573911086.42,1.09359143320988,1497519.03506173,48.0092328765432,6.33825080246914,2.78272824320988,221843.890123457,9.6214675962963,21.4893630142941,0.000530784629475622,478122881007054,319137094.463654
SSP1-2.6,39,MuraenesoxCinereus,Muraenesox cinereus,Predator,4,37.3661228465655,0.0337745844986392,6.66999094021286,0.000903882499057393,56.8297276691358,0.0367247437703704,33.8909124197531,0.000646224173097975,1253832512.22222,0.702679136296296,810506.060123457,901.375826666667,53.4067968641975,3.11316185185185,145387.018950617,97.8992948271605,293.400907860652,0.0670878005827842,5061692576618810,6277436549.55932
SSP1-2.6,39,MiichthysMiiuy,Miichthys miiuy,Predator,5,13.4653768161275,0.718685385312585,1.38589949041251,0.0533728387349557,102.128883864198,0.60690713037037,115.63083087037,0.00594256107975668,116331131.45679,0.577376148765432,68659.7092469136,392.777107901235,28.074906191358,3.01090595925926,25657.2549938272,94.2767534074074,144.502594083768,0.00465857303280352,1013565754841370,14927127475.5686
SSP1-2.6,39,TodarodesPacificus,Todarodes pacificus,Invertebrate,6,27.0410421979027,0.754149675726066,0.633128775068641,0.0278890758058341,13.7393064419753,0.825512080864198,3.60622835308642,0.0600839703481796,422184726555.556,1.01037003185185,864479.896419753,75.1789203950617,2.09868331851852,2.42650236790123,148787.942320988,7.06405672839506,7.06405672839506,0.000779633044684524,49360273320123500,58417046520.7289
SSP1-2.6,39,TrachysalambriaCurvirostris,Trachysalambria curvirostris,Invertebrate,7,6.26405803781786,0.282430120188866,0.240717278506247,0.0450874047596233,24.8800088444444,0.258392312858025,6.95469414098765,0.0103855394294091,5873310067888.89,0.89102926,265249.721851852,123.757266530864,0.817993643333333,2.27456269012346,89477.3071851852,4.97930620419753,9.52953640932094,0.00107822734426942,8868382235592590,34673003060.4064
SSP1-2.6,39,PortunusTrituberculatus,Portunus trituberculatus,Invertebrate,8,7.59874807925306,0.168154651708554,0.496500886221876,0.0221292573401226,6.44632608641975,0.183615275345679,0.814262972037037,0.0284837088419239,33632753207407.4,1.00571769271605,421401.427827161,19.8558930123457,0.407995730493827,2.15397847283951,92909.2988888889,0.818605792839506,0.818605792839506,3.69266938055715e-05,2096495797148150,5185219832.63328
SSP1-2.6,39,ScomberJaponicus,Scomber japonicus,Mid-trophic species,9,5.40899574774981,0.88369478569766,2.33306695217061,0.163375019487728,7.41190076376543,1.24916002316667,3.93946681753827,0.168534369655006,27187446833.3333,0.793261914197531,1128803.16962963,49.300987617284,13.7294558395062,2.53939398395062,204994.827530864,26.2598469012346,31.2075406991943,0.00568026141535677,947193859604757,843917401.170783
SSP1-2.6,39,DecapterusMaruadsi,Decapterus maruadsi,Mid-trophic species,10,3.96668503811485,0.370532174843816,3.58132772296446,0.0934110400204372,38.359134744856,0.446511894279835,38.3248160082305,0.0116403015148749,213544590.419753,0.536121169382716,49734.8516296296,244.861368888889,29.1329076419753,2.72657048518519,11254.0259320988,52.9115117777778,112.207309920083,0.0451884585272599,101579930595742,2066120983.11445
SSP1-2.6,39,PennahiaArgentata,Pennahia argentata,Mid-trophic species,11,10.3594394243872,0.0901547730459461,5.47717586198165,0.00870266906853209,34.6547390440917,0.127031531398589,37.4569936216931,0.0036656323176165,2421299507.92593,0.602498054444444,713827.751604938,732.656431975309,18.7883217530864,2.89871051481481,122114.237123457,30.3818754074074,197.194923717358,0.086831819713852,5198080979550990,7359301839.9987
