scenario,run,n_years,start_time,end_time,total_biomass,biomass_temporal_sd,biomass_stability,community_mean_tl,predator_biomass_proportion,total_yield,biomass_yield_ratio,mean_ingestion,mean_maintenance,mean_net_energy,mean_metabolic_burden,mean_species_length,mean_maturation_age,gonadal_allocation_bias,log_total_biomass,log_biomass_stability,predator_share_logit,log_biomass_yield_ratio,log_mean_ingestion,log_mean_maintenance,log_mean_net_energy,log_mean_metabolic_burden,log_mean_species_length,log_mean_maturation_age
Base,11,30,21,50,7668600.72623667,331817.303164671,23.1109127013517,2.61029359220811,0.328448924963147,1466917.69866767,5.22886035030177,49.0835920790192,0.492774456729808,37.0740796091842,0.0319451407497926,17.7985441528333,0.749101909666667,5.70954530915707,6.88471612635924,3.14030491729058,-0.715208727910786,0.718407043072106,3.89352480540866,-0.707703701040843,3.61291806260956,-3.4437351989337,2.87911666478646,-0.288880243750189
Base,12,30,21,50,7551397.22759333,264226.900042413,28.5792144039128,2.61766520031662,0.329799858212042,1445806.782221,5.22298229283089,49.2751508714359,0.484923841862211,37.7306632747068,0.031424492916985,17.8275526969524,0.754651718523809,5.68815552411168,6.87802731614465,3.35267968450716,-0.709090406659484,0.717918553476498,3.89741991485928,-0.723763427462922,3.63047311332626,-3.46016766092925,2.88074516485214,-0.28149893613314
Base,13,30,21,50,7614311.97676,321059.417846469,23.7162081331661,2.62271375765268,0.335518722937429,1438815.99748433,5.29148418639784,49.0081014260414,0.485563487835794,36.6303397517486,0.0310853543280763,17.6854222678571,0.751693880738095,5.69531253626591,6.88163066693719,3.16615870187197,-0.683328940850829,0.72357750257532,3.8919856196696,-0.722445231858237,3.60087685197972,-3.47101849264231,2.87274069954837,-0.285426111395777
Base,14,30,21,50,7565188.43952667,354002.303243002,21.3704497688921,2.62501146606111,0.344505612646539,1436738.53091467,5.26531999068123,48.983893252101,0.477723580837891,36.4579629673974,0.0303915749321329,17.7554536577381,0.745412197095239,5.78404166482417,6.8788197502346,3.0620091158523,-0.643279358303755,0.721424769816699,3.89149153493314,-0.738722996526567,3.59615989734954,-3.49358984937082,2.8766927170536,-0.293817928916523
Base,15,30,21,50,7743559.35771333,361511.706418978,21.4199408213322,2.61761959551342,0.339807283102,1472273.58537567,5.25990636698347,49.6947505814439,0.473052311589909,37.77315347683,0.0303196722627681,17.8509934109048,0.755940056428571,5.69474158584034,6.88894063175406,3.06432230223951,-0.664153145193829,0.72097801322896,3.90589930542043,-0.748549301277912,3.63159862481526,-3.49595852754185,2.88205915994904,-0.279793196384655
Base,16,30,21,50,7627334.67105333,399352.720539862,19.0992430469545,2.61566298051332,0.341443940834903,1447227.97251667,5.26916510315698,49.1734604740124,0.459382339307619,37.1048986831373,0.0302591243066799,17.925338965619,0.745809338380952,5.76486885775564,6.88237280271531,2.94964870321775,-0.65686613931499,0.721741806898209,3.89535405669836,-0.777872432418594,3.61374900087363,-3.49795751001357,2.88621529652274,-0.293285290021959
Base,17,30,21,50,7659512.4183,342713.389379999,22.3496153218781,2.61729083117339,0.331467194596854,1461938.45602833,5.23889523823476,49.0619729022126,0.466337487970283,36.6988852913525,0.0304028871637857,17.8130566427619,0.739916887333334,5.72028945577153,6.88420112462197,3.10680910936238,-0.701556624254638,0.719239713983075,3.89308425209052,-0.762845683867304,3.60274638106661,-3.49321770258661,2.87993170766056,-0.301217413506072
Base,18,30,21,50,7540656.45402333,398313.73238507,18.9314498620735,2.61284069760735,0.329888854113948,1435988.34550667,5.25036392460764,49.5951007673067,0.480231092502415,37.67009137229,0.0305652324062278,17.8866669830476,0.750100944738095,5.78359674303036,6.87740915514698,2.94082455299479,-0.708687795995623,0.720189407210001,3.90389205399964,-0.733487848223194,3.62886644729936,-3.48789211185858,2.88405557401746,-0.287547488524477
Base,19,30,21,50,7667008.15822333,382989.109532359,20.0188672925582,2.61807327569382,0.341602283397755,1452984.4161,5.27608731756503,49.9808680714303,0.473258492520088,37.3274555141368,0.0297552563166201,18.0203904172381,0.740221693261905,5.81092660982525,6.88462592537564,2.99667519349314,-0.65616203494403,0.722311974369186,3.91164029363193,-0.748113543950519,3.61972912864614,-3.51474947968548,2.89150391771897,-0.300805552161633
Base,20,30,21,50,7437837.77779667,388160.868332528,19.1617403623099,2.6128223049281,0.331845112018367,1428517.40627667,5.20650595401741,49.1436739544989,0.473163351968288,36.9571905914973,0.0299639645938541,17.819172270381,0.739527531404762,5.74865523936628,6.87144670199068,2.95291560152358,-0.69985168490302,0.716546369374635,3.89474812934708,-0.748314597112329,3.6097602317496,-3.50775979952001,2.88027497149028,-0.301743767768022
