scenario,run,mean_ingestion,mean_maintenance,mean_net_energy,mean_metabolic_burden,mean_species_length,mean_maturation_age,gonadal_allocation_bias
SSP1-2.6,9,48.7972599162293,0.583762751445734,39.2347588684178,0.0385730733643172,18.5535300449118,0.745915763068783,5.65139803873778
SSP1-2.6,10,48.9159739611111,0.603846348247048,39.505888198444,0.0397376223802903,18.4670867852293,0.736943724488537,5.6722179455263
SSP1-2.6,11,49.0456261487252,0.595958238528504,39.7812085982631,0.0381886116705903,18.547621657866,0.739106241058202,5.5878614783634
SSP1-2.6,12,48.4652885994879,0.58542361963951,39.3535743076935,0.0379854959326876,18.4353351450088,0.745620701578483,5.59669852732294
SSP1-2.6,13,49.1486070632674,0.599727788051185,39.4829116786093,0.0388452748772228,18.5458168351146,0.740664905202822,5.68635635621815
SSP1-2.6,14,48.5876299683254,0.583717798024086,39.684132909187,0.0382105834250378,18.5424394939153,0.74366393882716,5.66768474859749
SSP1-2.6,15,48.966286423622,0.590126764874889,39.6954347375878,0.038481215973736,18.5143753517725,0.744754979911816,5.681954204474
SSP1-2.6,16,48.8299931433216,0.594020420245398,39.3921287346672,0.0383872327278438,18.4854450640035,0.742333647945327,5.65092207429729
SSP1-2.6,17,48.9435800128682,0.59277150509444,39.7400532290965,0.0389551753023755,18.5876268224691,0.744001613544974,5.64154143095183
SSP1-2.6,18,48.7976087874832,0.59816146209418,39.2306854788395,0.0394951625506638,18.4879457838801,0.741543253553792,5.61929853785947
SSP1-2.6,19,48.6842023937184,0.604802836362636,39.3127283921299,0.0396497988139568,18.4562858886773,0.735300347848325,5.65283451756567
SSP1-2.6,20,49.0278413071433,0.585881647158512,39.6587270691248,0.0375251810816093,18.6255716358554,0.741960204585538,5.69200744694455
SSP1-2.6,21,49.0726344787615,0.594250681279462,39.9419006095556,0.0393570552037979,18.5067323105027,0.746250068633157,5.6251082997914
SSP1-2.6,22,49.2915335296788,0.60620218455013,39.3260967173649,0.0388078116584919,18.4472443435626,0.740071187636684,5.66011871940051
SSP1-2.6,23,49.0273409620148,0.592182950084879,39.8740409707014,0.0387193760478738,18.4026565890829,0.741706382477955,5.57578581254895
SSP1-2.6,24,48.8276544532672,0.598399040374348,39.3031432564347,0.039248896275633,18.5120052388889,0.737707491305115,5.63782707239583
SSP1-2.6,25,49.0400675591455,0.599532212951915,39.6408372978537,0.0385567833151699,18.5049900514109,0.743404302645503,5.65661217261125
SSP1-2.6,26,48.9403573009413,0.59479921630186,39.5320861940873,0.0384854460487174,18.6118351460847,0.743435781569665,5.66065159561091
SSP1-2.6,27,49.2132902746788,0.589141279537122,40.093013975778,0.0378034990690741,18.532950004709,0.745814311287478,5.656497201956
SSP1-2.6,28,49.0082080945478,0.594329310193329,39.301937500155,0.0383873434878844,18.4844618573192,0.74268392399471,5.59718872682181
SSP1-2.6,29,49.0264362546748,0.592845969026153,39.4351198533237,0.0383846357003967,18.5523266523369,0.74097399521164,5.60205337372559
SSP1-2.6,30,48.7697870113943,0.576089347618788,39.0326010359282,0.0372069233381348,18.5206409632804,0.744726062724868,5.62958954720493
SSP1-2.6,31,49.2653917010169,0.588875291315609,39.8117335503091,0.0382302068699687,18.5127698600088,0.743224084717813,5.57057139461046
SSP1-2.6,32,48.8439335445817,0.594920724075274,39.6753509205698,0.0384979813681929,18.5238447282363,0.741286374320988,5.5056653700657
SSP1-2.6,33,49.0604077626812,0.586605161060741,39.5646163418373,0.0385895003817618,18.4093876597266,0.739928979223986,5.6427024212368
SSP1-2.6,34,49.263431899127,0.594599916620849,39.8720819383251,0.0390393606636977,18.4049825707848,0.744629770908289,5.60820738780172
