scenario,run,n_years,start_time,end_time,total_biomass,biomass_temporal_sd,biomass_stability,community_mean_tl,predator_biomass_proportion,total_yield,biomass_yield_ratio
SSP1-2.6,14,81,21,101,7415523.41905432,341880.367864644,21.6904043521746,2.63527095101243,0.330243196026709,1436279.34629716,5.1632657785207
SSP1-2.6,15,81,21,101,7376420.72260741,333012.076139008,22.1506102965717,2.63299604140384,0.331462696965675,1438261.64882593,5.12920235392069
SSP1-2.6,16,81,21,101,7418031.85195432,300162.744921908,24.7133662569758,2.63384025371284,0.335561305146914,1444119.26830086,5.13750386202409
SSP1-2.6,17,81,21,101,7541379.28071111,363036.468718463,20.773062572288,2.63523393987307,0.341012180887748,1460063.60257259,5.16588055084126
SSP1-2.6,18,81,21,101,7382083.78765062,277155.872485813,26.6351339462543,2.63265893812026,0.332466489306281,1443814.50683617,5.11473616302748
SSP1-2.6,19,81,21,101,7413424.18258025,405518.791409459,18.281333293615,2.63651031045258,0.33718679621711,1443013.49513111,5.13740749980936
SSP1-2.6,20,81,21,101,7352611.55438642,316603.763534154,23.223386457291,2.63454528649359,0.341375187207144,1430777.44138728,5.13902409145417
SSP1-2.6,21,81,21,101,7518784.30111963,324800.149092433,23.1489558183051,2.63668849286126,0.335048511483311,1456810.68680543,5.16119360003449
SSP1-2.6,22,81,21,101,7389792.47820247,302662.015316377,24.4159891371827,2.63358860735635,0.340193432545893,1439879.42048111,5.1334344627448
SSP1-2.6,23,81,21,101,7374803.07103827,377386.945739938,19.5417545685863,2.63944593201078,0.332248645809233,1439534.6661821,5.12260631725509
SSP1-2.6,24,81,21,101,7347888.93662346,328158.974533668,22.3912478610869,2.63561874572165,0.339708473429151,1428761.50367741,5.14308221544306
SSP1-2.6,25,81,21,101,7392689.8229642,294137.128249479,25.1334806556414,2.63566934946748,0.332940244088893,1440321.84848383,5.13348191255667
SSP1-2.6,26,81,21,101,7460231.70326296,355134.788632263,21.0067612131008,2.63556628326992,0.342101281999591,1445440.43969062,5.16068087393197
SSP1-2.6,27,81,21,101,7423626.46930037,363412.602603537,20.427542732741,2.63739531824002,0.337497472337641,1442546.9747558,5.1470944599121
SSP1-2.6,28,81,21,101,7423641.98084444,308804.589352924,24.039934109788,2.63686618203529,0.332255410541502,1440409.48767383,5.1543851503952
SSP1-2.6,29,81,21,101,7481530.2357716,345786.747123938,21.6362549981999,2.6408210541094,0.339340509999974,1446393.66079556,5.17329532025476
SSP1-2.6,30,81,21,101,7452754.91087654,389315.890802546,19.1432075775618,2.63740419423705,0.339370250867185,1450899.16157852,5.1364192814721
SSP1-2.6,31,81,21,101,7369385.63830321,390121.745017342,18.8899637931631,2.63959354019037,0.335549858803421,1437412.02168791,5.12709443159688
SSP1-2.6,32,81,21,101,7467958.30677901,365906.896813506,20.4094494304797,2.63873917527057,0.338040439108701,1451677.33333321,5.14440295041571
SSP1-2.6,33,81,21,101,7463533.19588889,384659.850237496,19.4029431230755,2.63438181949258,0.336216051328626,1453117.71925494,5.13630865108124
SSP1-2.6,34,81,21,101,7324723.63490617,308517.277850635,23.741696691789,2.637109261707,0.344183678249902,1420492.82727593,5.15732611785322
SSP1-2.6,35,81,21,101,7422690.73004321,330837.330350462,22.4360737108482,2.6361951525393,0.338835569667225,1445624.28329654,5.13467019814659
SSP1-2.6,36,81,21,101,7371778.22088519,411081.62909147,17.9326384328522,2.63547952060636,0.335566993426984,1435535.76660111,5.13509003929707
SSP1-2.6,37,81,21,101,7346909.68883827,313473.577399163,23.4370939643282,2.63227279927331,0.330213532876643,1432020.27892037,5.1305334017006
SSP1-2.6,38,81,21,101,7399825.13930667,387581.653623404,19.0922998292813,2.63047332642591,0.332591096458137,1443125.84639148,5.1278360479848
SSP1-2.6,39,81,21,101,7426445.35266173,330137.133357524,22.4950319194152,2.63580780193329,0.332384685572231,1450219.02199926,5.12167616353522
SSP1-2.6,40,81,21,101,7415335.8742,318485.814050822,23.283096285779,2.63500950386103,0.337849320098557,1436083.88172926,5.16448151348837
SSP1-2.6,41,81,21,101,7540136.1330679,417156.870193153,18.0750616178913,2.63646547000814,0.342516721911615,1459915.50316012,5.16534547160139
SSP1-2.6,42,81,21,101,7403063.96262963,397670.838743473,18.6160594174348,2.6382890920569,0.329185575127038,1440272.44802346,5.1393128563804
SSP1-2.6,43,81,21,101,7308562.75714815,346280.750979609,21.1058880300815,2.63281704733732,0.338686025442868,1428947.78792346,5.11458139609746
SSP1-2.6,44,81,21,101,7400154.39572963,277887.938503115,26.6299949382174,2.63450966345432,0.336113622795769,1444387.88006037,5.12427293964626
SSP1-2.6,45,81,21,101,7514875.11225506,284883.574505625,26.3787588501586,2.63508632648502,0.330333011574099,1464754.9873837,5.13108204419064
SSP1-2.6,46,81,21,101,7375447.22276296,390781.073239083,18.8736039891333,2.63296083963876,0.334584125806859,1437262.10286556,5.13203127011149
SSP1-2.6,47,81,21,101,7377779.84223827,339321.122433451,21.7427662307855,2.63779498718928,0.336954903888644,1433611.20007951,5.14653494315455
SSP1-2.6,48,81,21,101,7443237.46560247,332260.632761251,22.401803679676,2.63803369288572,0.334786420427224,1446754.00121494,5.14492358648416
SSP1-2.6,49,81,21,101,7519990.79355679,329327.345073276,22.8343953396386,2.63754139630581,0.337273575454054,1458083.61338864,5.15775779441204
SSP1-2.6,50,81,21,101,7458079.40284198,386505.362978339,19.2961860745512,2.6346195694153,0.340704450851705,1450965.74281247,5.14034628258868
SSP1-2.6,51,81,21,101,7370988.87652716,356369.245369425,20.683571807343,2.63461409609508,0.335666723658811,1433130.09420259,5.14301981119885
SSP1-2.6,52,81,21,101,7447464.81507407,322041.105708813,23.1258205336309,2.63551031332575,0.338820174360281,1446835.13623988,5.14793342763129
SSP1-2.6,53,81,21,101,7455159.9600321,371077.346824017,20.0905822568784,2.63765790699064,0.334923595038935,1454462.92112889,5.12653944899978
SSP1-2.6,54,81,21,101,7372960.31838148,325267.558309575,22.6673706922971,2.63788658237447,0.338741508658168,1430729.96913667,5.15370173459252
SSP1-2.6,55,81,21,101,7410128.90651062,371367.086849827,19.9536500915255,2.63530121129743,0.347035658726313,1442451.66486185,5.13729509951109
