scenario,run,group,mean_tl
SSP1-2.6,25,Prey,2.32905449876543
SSP1-2.6,26,Prey,2.32588663580247
SSP1-2.6,27,Prey,2.32538754691358
SSP1-2.6,28,Prey,2.3279124617284
SSP1-2.6,29,Prey,2.32456396049383
SSP1-2.6,30,Prey,2.32814953703704
SSP1-2.6,31,Prey,2.32266263580247
SSP1-2.6,32,Prey,2.32518804320988
SSP1-2.6,33,Prey,2.32534569506173
SSP1-2.6,34,Prey,2.32637149382716
SSP1-2.6,35,Prey,2.32296234320988
SSP1-2.6,36,Prey,2.32578004938272
SSP1-2.6,37,Prey,2.31891530123457
SSP1-2.6,38,Prey,2.32505790740741
SSP1-2.6,39,Prey,2.32209402592593
SSP1-2.6,40,Prey,2.32582570246914
SSP1-2.6,41,Prey,2.32829183333333
SSP1-2.6,42,Prey,2.32300889753086
SSP1-2.6,43,Prey,2.32327304567901
SSP1-2.6,44,Prey,2.32495875555556
SSP1-2.6,45,Prey,2.32640336790123
SSP1-2.6,46,Prey,2.32603941851852
SSP1-2.6,47,Prey,2.32628701111111
SSP1-2.6,48,Prey,2.32133105432099
SSP1-2.6,49,Prey,2.3275793037037
SSP1-2.6,50,Prey,2.32624507777778
SSP1-2.6,51,Prey,2.32465534320988
SSP1-2.6,52,Prey,2.32940953333333
SSP1-2.6,53,Prey,2.33379942469136
SSP1-2.6,54,Prey,2.32379599259259
SSP1-2.6,55,Prey,2.32600761481482
SSP1-2.6,56,Prey,2.32448961975309
SSP1-2.6,57,Prey,2.32774956666667
SSP1-2.6,58,Prey,2.32363367283951
SSP1-2.6,59,Prey,2.3255954308642
SSP1-2.6,60,Prey,2.32783813580247
SSP1-2.6,61,Prey,2.32434912592593
SSP1-2.6,62,Prey,2.326416
SSP1-2.6,63,Prey,2.32889454444444
SSP1-2.6,64,Prey,2.32842617037037
SSP1-2.6,65,Prey,2.3222350037037
SSP1-2.6,66,Prey,2.32760023827161
SSP1-2.6,67,Prey,2.32380323950617
SSP1-2.6,68,Prey,2.33048102345679
SSP1-2.6,69,Prey,2.33072809259259
SSP1-2.6,70,Prey,2.32519127283951
SSP1-2.6,71,Prey,2.33021444567901
SSP1-2.6,72,Prey,2.32914057530864
SSP1-2.6,73,Prey,2.32451436049383
SSP1-2.6,74,Prey,2.32392503580247
SSP1-2.6,75,Prey,2.32494277777778
SSP1-2.6,76,Prey,2.32470411111111
SSP1-2.6,77,Prey,2.3304190691358
SSP1-2.6,78,Prey,2.32720683209877
SSP1-2.6,79,Prey,2.32823740123457
SSP1-2.6,80,Prey,2.3265377308642
SSP1-2.6,81,Prey,2.3267309691358
SSP1-2.6,82,Prey,2.32172262469136
SSP1-2.6,83,Prey,2.32581264691358
SSP1-2.6,84,Prey,2.33010422716049
SSP1-2.6,85,Prey,2.32463772839506
SSP1-2.6,86,Prey,2.32331730493827
SSP1-2.6,87,Prey,2.32244851111111
SSP1-2.6,88,Prey,2.3304163654321
SSP1-2.6,89,Prey,2.32836459012346
SSP1-2.6,90,Prey,2.3324162691358
SSP1-2.6,91,Prey,2.32139399382716
SSP1-2.6,92,Prey,2.33081670493827
SSP1-2.6,93,Prey,2.32304061111111
SSP1-2.6,94,Prey,2.32526117654321
SSP1-2.6,95,Prey,2.32717881111111
SSP1-2.6,96,Prey,2.32553843333333
SSP1-2.6,97,Prey,2.3232806962963
SSP1-2.6,98,Prey,2.32720477037037
SSP1-2.6,99,Prey,2.32570682716049
SSP1-2.6,100,Prey,2.32919724814815
SSP1-2.6,1,Predator,2.99854582253087
SSP1-2.6,2,Predator,2.99372048796296
SSP1-2.6,3,Predator,2.99631624814815
SSP1-2.6,4,Predator,2.99913209876543
SSP1-2.6,5,Predator,2.99488046327161
SSP1-2.6,6,Predator,2.99783900925926
SSP1-2.6,7,Predator,2.99191016759259
SSP1-2.6,8,Predator,2.99796081018518
SSP1-2.6,9,Predator,3.00285635216049
SSP1-2.6,10,Predator,2.99687824259259
SSP1-2.6,11,Predator,2.99700793055556
SSP1-2.6,12,Predator,2.99428923395062
SSP1-2.6,13,Predator,2.99595189907407
SSP1-2.6,14,Predator,2.99413216234568
SSP1-2.6,15,Predator,2.99236789259259
SSP1-2.6,16,Predator,2.99816783179013
SSP1-2.6,17,Predator,3.00128520493827
SSP1-2.6,18,Predator,2.99860414320988
SSP1-2.6,19,Predator,2.99783794012346
SSP1-2.6,20,Predator,2.99488706697531
SSP1-2.6,21,Predator,2.99729504876543
SSP1-2.6,22,Predator,2.99483022407407
SSP1-2.6,23,Predator,2.99719676759259
SSP1-2.6,24,Predator,2.99764107222222
SSP1-2.6,25,Predator,2.99606820339506
SSP1-2.6,26,Predator,3.00129118425926
SSP1-2.6,27,Predator,2.99794071820988
SSP1-2.6,28,Predator,2.99531027530864
SSP1-2.6,29,Predator,2.99865259506173
SSP1-2.6,30,Predator,2.99978129290124
SSP1-2.6,31,Predator,2.99609403734568
SSP1-2.6,32,Predator,2.9981183308642
SSP1-2.6,33,Predator,2.99442396697531
SSP1-2.6,34,Predator,2.99690513703704
SSP1-2.6,35,Predator,3.00009331203704
SSP1-2.6,36,Predator,2.99499262037037
SSP1-2.6,37,Predator,2.99186696141975
