run,species,scenario,tl_future,latin,group,species_order,tl_base,response_tl
5,DecapterusMaruadsi,SSP5-8.5,2.72725229506173,Decapterus maruadsi,Mid-trophic species,10,2.71346104333333,0.0137912517284002
5,EngraulisJaponicus,SSP1-2.6,2.32568157777778,Engraulis japonicus,Prey,1,2.34277879,-0.0170972122222199
5,EngraulisJaponicus,SSP5-8.5,2.32849151851852,Engraulis japonicus,Prey,1,2.34277879,-0.0142872714814799
5,LarimichthysPolyactis,SSP1-2.6,2.59960814691358,Larimichthys polyactis,Mid-trophic species,13,2.60977737,-0.0101692230864203
5,LarimichthysPolyactis,SSP5-8.5,2.60897957654321,Larimichthys polyactis,Mid-trophic species,13,2.60977737,-0.000797793456789986
5,MiichthysMiiuy,SSP1-2.6,3.00422738888889,Miichthys miiuy,Predator,5,3.03305685,-0.0288294611111097
5,MiichthysMiiuy,SSP5-8.5,3.00982930123457,Miichthys miiuy,Predator,5,3.03305685,-0.0232275487654299
5,MuraenesoxCinereus,SSP1-2.6,3.10920051975309,Muraenesox cinereus,Predator,4,3.11379896666667,-0.00459844691358002
5,MuraenesoxCinereus,SSP5-8.5,3.11213759506173,Muraenesox cinereus,Predator,4,3.11379896666667,-0.00166137160494007
5,PampusArgenteus,SSP1-2.6,2.81349278271605,Pampus argenteus,Mid-trophic species,12,2.81998976666667,-0.00649698395061993
5,PampusArgenteus,SSP5-8.5,2.81909469012346,Pampus argenteus,Mid-trophic species,12,2.81998976666667,-0.000895076543209861
5,PennahiaArgentata,SSP1-2.6,2.88454271481481,Pennahia argentata,Mid-trophic species,11,2.90258793666667,-0.0180452218518599
5,PennahiaArgentata,SSP5-8.5,2.90487359259259,Pennahia argentata,Mid-trophic species,11,2.90258793666667,0.00228565592591989
5,PortunusTrituberculatus,SSP1-2.6,2.15321507037037,Portunus trituberculatus,Invertebrate,8,2.14275878666667,0.0104562837036997
5,PortunusTrituberculatus,SSP5-8.5,2.15229309259259,Portunus trituberculatus,Invertebrate,8,2.14275878666667,0.00953430592591964
5,ScomberJaponicus,SSP1-2.6,2.5380653345679,Scomber japonicus,Mid-trophic species,9,2.53825240333333,-0.000187068765429732
5,ScomberJaponicus,SSP5-8.5,2.53987134320988,Scomber japonicus,Mid-trophic species,9,2.53825240333333,0.00161893987655004
5,ScomberomorusNiphonius,SSP1-2.6,3.07796405308642,Scomberomorus niphonius,Predator,2,3.0873032,-0.00933914691358018
5,ScomberomorusNiphonius,SSP5-8.5,3.0757217308642,Scomberomorus niphonius,Predator,2,3.0873032,-0.0115814691358001
5,TodarodesPacificus,SSP1-2.6,2.42459460740741,Todarodes pacificus,Invertebrate,6,2.44032332333333,-0.0157287159259201
5,TodarodesPacificus,SSP5-8.5,2.42511719382716,Todarodes pacificus,Invertebrate,6,2.44032332333333,-0.0152061295061703
5,TrachurusJaponicus,SSP1-2.6,2.68264465555556,Trachurus japonicus,Mid-trophic species,14,2.67454759333333,0.00809706222222983
5,TrachurusJaponicus,SSP5-8.5,2.67660030987654,Trachurus japonicus,Mid-trophic species,14,2.67454759333333,0.00205271654321004
5,TrachysalambriaCurvirostris,SSP1-2.6,2.26883638024691,Trachysalambria curvirostris,Invertebrate,7,2.26415960666667,0.00467677358023977
5,TrachysalambriaCurvirostris,SSP5-8.5,2.27277109259259,Trachysalambria curvirostris,Invertebrate,7,2.26415960666667,0.00861148592592009
5,TrichiurusJaponicus,SSP1-2.6,2.78812989135803,Trichiurus japonicus,Predator,3,2.77923071333333,0.00889917802470031
5,TrichiurusJaponicus,SSP5-8.5,2.78288765925926,Trichiurus japonicus,Predator,3,2.77923071333333,0.00365694592593036
6,DecapterusMaruadsi,SSP1-2.6,2.71987664074074,Decapterus maruadsi,Mid-trophic species,10,2.71887873333333,0.000997907407410015
6,DecapterusMaruadsi,SSP5-8.5,2.72199871481482,Decapterus maruadsi,Mid-trophic species,10,2.71887873333333,0.00311998148148973
6,EngraulisJaponicus,SSP1-2.6,2.32897116049383,Engraulis japonicus,Prey,1,2.32869032333333,0.000280837160500091
6,EngraulisJaponicus,SSP5-8.5,2.32740610123457,Engraulis japonicus,Prey,1,2.32869032333333,-0.00128422209875989
6,LarimichthysPolyactis,SSP1-2.6,2.5960475962963,Larimichthys polyactis,Mid-trophic species,13,2.58218401,0.0138635862962997
6,LarimichthysPolyactis,SSP5-8.5,2.60993550123457,Larimichthys polyactis,Mid-trophic species,13,2.58218401,0.0277514912345698
6,MiichthysMiiuy,SSP1-2.6,3.00866952098765,Miichthys miiuy,Predator,5,3.02867659,-0.0200070690123497
6,MiichthysMiiuy,SSP5-8.5,3.01555486790123,Miichthys miiuy,Predator,5,3.02867659,-0.0131217220987701
6,MuraenesoxCinereus,SSP1-2.6,3.10817077407407,Muraenesox cinereus,Predator,4,3.11585016666667,-0.00767939259259975
6,MuraenesoxCinereus,SSP5-8.5,3.11297628395062,Muraenesox cinereus,Predator,4,3.11585016666667,-0.00287388271604971
6,PampusArgenteus,SSP1-2.6,2.80886209135802,Pampus argenteus,Mid-trophic species,12,2.83869304333333,-0.0298309519753102
6,PampusArgenteus,SSP5-8.5,2.82314935061728,Pampus argenteus,Mid-trophic species,12,2.83869304333333,-0.0155436927160499
6,PennahiaArgentata,SSP1-2.6,2.88421565061728,Pennahia argentata,Mid-trophic species,11,2.90215795666667,-0.0179423060493904
6,PennahiaArgentata,SSP5-8.5,2.91154908765432,Pennahia argentata,Mid-trophic species,11,2.90215795666667,0.00939113098764999
6,PortunusTrituberculatus,SSP1-2.6,2.15212127530864,Portunus trituberculatus,Invertebrate,8,2.13900618666667,0.0131150886419702
6,PortunusTrituberculatus,SSP5-8.5,2.15433312592593,Portunus trituberculatus,Invertebrate,8,2.13900618666667,0.0153269392592601
6,ScomberJaponicus,SSP1-2.6,2.53616025925926,Scomber japonicus,Mid-trophic species,9,2.53582553333333,0.000334725925930091
6,ScomberJaponicus,SSP5-8.5,2.53649594197531,Scomber japonicus,Mid-trophic species,9,2.53582553333333,0.000670408641980202
6,ScomberomorusNiphonius,SSP1-2.6,3.08791890617284,Scomberomorus niphonius,Predator,2,3.09280513333333,-0.00488622716048992
6,ScomberomorusNiphonius,SSP5-8.5,3.07754051851852,Scomberomorus niphonius,Predator,2,3.09280513333333,-0.0152646148148099
6,TodarodesPacificus,SSP1-2.6,2.4253324691358,Todarodes pacificus,Invertebrate,6,2.43817228666667,-0.0128398175308702
6,TodarodesPacificus,SSP5-8.5,2.42646110493827,Todarodes pacificus,Invertebrate,6,2.43817228666667,-0.0117111817284004
6,TrachurusJaponicus,SSP1-2.6,2.69281308148148,Trachurus japonicus,Mid-trophic species,14,2.67743489333333,0.0153781881481501
6,TrachurusJaponicus,SSP5-8.5,2.6864492691358,Trachurus japonicus,Mid-trophic species,14,2.67743489333333,0.00901437580247011
6,TrachysalambriaCurvirostris,SSP1-2.6,2.27187718765432,Trachysalambria curvirostris,Invertebrate,7,2.27521807,-0.0033408823456802
6,TrachysalambriaCurvirostris,SSP5-8.5,2.27867411481481,Trachysalambria curvirostris,Invertebrate,7,2.27521807,0.00345604481480999
6,TrichiurusJaponicus,SSP1-2.6,2.78659683580247,Trichiurus japonicus,Predator,3,2.78505767333333,0.0015391624691401
6,TrichiurusJaponicus,SSP5-8.5,2.78446068395062,Trichiurus japonicus,Predator,3,2.78505767333333,-0.000596989382710245
7,DecapterusMaruadsi,SSP1-2.6,2.72233709876543,Decapterus maruadsi,Mid-trophic species,10,2.69151229,0.0308248087654301
7,DecapterusMaruadsi,SSP5-8.5,2.72780560987654,Decapterus maruadsi,Mid-trophic species,10,2.69151229,0.0362933198765401
7,EngraulisJaponicus,SSP1-2.6,2.31910845061728,Engraulis japonicus,Prey,1,2.33645711333333,-0.0173486627160502
7,EngraulisJaponicus,SSP5-8.5,2.32390321604938,Engraulis japonicus,Prey,1,2.33645711333333,-0.0125538972839498
7,LarimichthysPolyactis,SSP1-2.6,2.59394642839506,Larimichthys polyactis,Mid-trophic species,13,2.61746318666667,-0.0235167582716098
7,LarimichthysPolyactis,SSP5-8.5,2.6073509617284,Larimichthys polyactis,Mid-trophic species,13,2.61746318666667,-0.0101122249382701
7,MiichthysMiiuy,SSP1-2.6,3.00295830123457,Miichthys miiuy,Predator,5,3.03349077,-0.0305324687654296
