run,group,scenario,tl_future,tl_base,response_tl
18,Prey,SSP1-2.6,2.32658737283951,2.33616886666667,-0.00958149382715989
18,Prey,SSP5-8.5,2.32188195555556,2.33616886666667,-0.0142869111111099
18,Predator,SSP1-2.6,2.99860414320988,3.00054184833333,-0.00193770512345504
18,Predator,SSP5-8.5,2.99575524351852,3.00054184833333,-0.00478660481481263
18,Invertebrate,SSP1-2.6,2.28674367489712,2.28152549222222,0.00521818267489627
18,Invertebrate,SSP5-8.5,2.28574667942387,2.28152549222222,0.00422118720164644
18,Mid-trophic species,SSP1-2.6,2.70713736563786,2.71198123555556,-0.00484386991769359
18,Mid-trophic species,SSP5-8.5,2.70751587695474,2.71198123555556,-0.00446535860081987
19,Prey,SSP1-2.6,2.32675546790123,2.33557980333333,-0.00882433543210004
19,Prey,SSP5-8.5,2.32639456666667,2.33557980333333,-0.00918523666666005
19,Predator,SSP1-2.6,2.99783794012346,3.00425234333334,-0.00641440320987519
19,Predator,SSP5-8.5,2.99651583827161,3.00425234333334,-0.00773650506173018
19,Invertebrate,SSP1-2.6,2.28446822016461,2.28709224111111,-0.00262402094650316
19,Invertebrate,SSP5-8.5,2.28356788806584,2.28709224111111,-0.00352435304526999
19,Mid-trophic species,SSP1-2.6,2.71136421851852,2.70946398055556,0.00190023796296401
19,Mid-trophic species,SSP5-8.5,2.71024880473251,2.70946398055556,0.000784824176953691
20,Prey,SSP1-2.6,2.32316737037037,2.33692436333333,-0.0137569929629597
20,Prey,SSP5-8.5,2.32663924567901,2.33692436333333,-0.0102851176543197
20,Predator,SSP1-2.6,2.99488706697531,2.99878224083333,-0.0038951738580244
20,Predator,SSP5-8.5,2.99518560524691,2.99878224083333,-0.00359663558641943
20,Invertebrate,SSP1-2.6,2.28517509835391,2.28302740555556,0.00214769279835014
20,Invertebrate,SSP5-8.5,2.28478482798354,2.28302740555556,0.00175742242798016
20,Mid-trophic species,SSP1-2.6,2.70917582016461,2.709383355,-0.000207534835391154
20,Mid-trophic species,SSP5-8.5,2.71141966563786,2.709383355,0.00203631063785936
21,Prey,SSP1-2.6,2.32428829753086,2.33147572333333,-0.00718742580246978
21,Prey,SSP5-8.5,2.32392088395062,2.33147572333333,-0.00755483938270984
21,Predator,SSP1-2.6,2.99729504876543,3.00722191666667,-0.00992686790123454
21,Predator,SSP5-8.5,2.99769868703704,3.00722191666667,-0.0095232296296297
21,Invertebrate,SSP1-2.6,2.28257791975309,2.28338879222222,-0.000810872469133361
21,Invertebrate,SSP5-8.5,2.28577921481482,2.28338879222222,0.00239042259259703
21,Mid-trophic species,SSP1-2.6,2.70973446872428,2.70789405611111,0.00184041261316992
21,Mid-trophic species,SSP5-8.5,2.70958658806584,2.70789405611111,0.00169253195473296
22,Prey,SSP1-2.6,2.32677164691358,2.32750515333333,-0.000733506419750007
22,Prey,SSP5-8.5,2.32472601111111,2.32750515333333,-0.00277914222222009
22,Predator,SSP1-2.6,2.99483022407407,3.00051228583333,-0.00568206175926012
22,Predator,SSP5-8.5,2.99330751790123,3.00051228583333,-0.00720476793210034
22,Invertebrate,SSP1-2.6,2.28205869135802,2.27786353555556,0.00419515580246621
22,Invertebrate,SSP5-8.5,2.28542018436214,2.27786353555556,0.00755664880658324
22,Mid-trophic species,SSP1-2.6,2.7080270526749,2.70248442166667,0.0055426310082316
